,Alabama,,,,Alaska,,,,Arizona,,,,Arkansas,,,,California,,,,Colorado,,,,Connecticut,,,,Delaware,,,,District of Columbia,,,,Florida,,,,Georgia,,,,Hawaii,,,,Idaho,,,,Illinois,,,,Indiana,,,,Iowa,,,,Kansas,,,,Kentucky,,,,Louisiana,,,,Maine,,,,Maryland,,,,Massachusetts,,,,Michigan,,,,Minnesota,,,,Mississippi,,,,Missouri,,,,Montana,,,,Nebraska,,,,Nevada,,,,New Hampshire,,,,New Jersey,,,,New Mexico,,,,New York,,,,North Carolina,,,,North Dakota,,,,Ohio,,,,Oklahoma,,,,Oregon,,,,Pennsylvania,,,,Rhode Island,,,,South Carolina,,,,South Dakota,,,,Tennessee,,,,Texas,,,,Utah,,,,Vermont,,,,Virginia,,,,Washington,,,,West Virginia,,,,Wisconsin,,,,Wyoming,,,,Puerto Rico,,,
18 years and over,"3,817,588","±2,862",77.9%,±0.1,"551,796",±386,75.4%,±0.1,"5,639,069","±1,034",77.5%,±0.1,"2,318,792","±2,808",76.8%,±0.1,"30,621,159","±3,413",77.5%,±0.1,"4,502,416","±1,970",78.2%,±0.1,"2,837,855","±1,496",79.6%,±0.1,"769,818",±709,79.1%,±0.1,"577,848",±4,81.9%,±0.1,"17,245,782","±3,040",80.3%,±0.1,"8,114,394","±3,987",76.4%,±0.1,"1,115,685",±460,78.8%,±0.1,"1,337,710","±1,665",74.9%,±0.1,"9,857,142","±2,397",77.8%,±0.1,"5,164,798","±3,427",76.7%,±0.1,"2,433,240","±2,587",77.1%,±0.1,"2,213,013","±2,438",76.0%,±0.1,"3,465,848","±3,100",77.6%,±0.1,"3,563,908","±2,212",76.7%,±0.1,"1,097,859","±1,170",81.7%,±0.1,"4,713,393","±1,637",78.0%,±0.1,"5,540,726","±1,391",80.4%,±0.1,"7,844,035","±2,340",78.5%,±0.1,"4,336,963","±1,816",76.9%,±0.1,"2,277,729","±2,060",76.5%,±0.1,"4,764,733","±3,616",77.6%,±0.1,"842,254","±1,539",78.8%,±0.1,"1,459,312","±1,450",75.4%,±0.1,"2,389,419","±1,212",77.6%,±0.1,"1,103,691","±1,330",81.2%,±0.1,"6,944,166",±691,78.2%,±0.1,"1,622,979","±1,372",77.4%,±0.1,"15,431,465","±2,891",79.3%,±0.1,"8,194,112","±3,341",78.1%,±0.1,"585,356","±2,389",76.8%,±0.3,"9,114,253","±2,785",78.0%,±0.1,"3,004,742","±1,544",75.9%,±0.1,"3,354,921","±1,582",79.5%,±0.1,"10,169,664","±2,015",79.4%,±0.1,"855,786",±974,80.8%,±0.1,"4,036,414","±2,412",78.4%,±0.1,"669,390","±1,673",75.7%,±0.2,"5,318,422","±4,152",77.9%,±0.1,"21,599,250","±4,425",74.5%,±0.1,"2,275,650",±911,71.0%,±0.1,"510,430","±1,129",81.8%,±0.2,"6,677,914","±3,452",78.2%,±0.1,"5,951,928","±2,602",78.2%,±0.1,"1,433,329","±1,340",80.0%,±0.1,"4,559,022","±2,159",78.3%,±0.1,"444,570","±1,722",76.8%,±0.3,"2,620,960",*****,82.1%,*****
21 years and over,"3,608,467","±7,841",73.6%,±0.2,"523,018","±2,014",71.5%,±0.3,"5,332,094","±7,159",73.3%,±0.1,"2,192,034","±5,941",72.6%,±0.2,"29,044,071","±15,225",73.5%,±0.1,"4,279,893","±6,127",74.3%,±0.1,"2,685,230","±4,631",75.3%,±0.1,"729,636","±3,045",74.9%,±0.3,"544,046","±2,264",77.1%,±0.3,"16,467,996","±13,422",76.7%,±0.1,"7,645,283","±12,032",72.0%,±0.1,"1,069,806","±2,567",75.6%,±0.2,"1,266,533","±3,899",70.9%,±0.2,"9,356,390","±8,540",73.8%,±0.1,"4,871,760","±8,299",72.4%,±0.1,"2,294,466","±6,427",72.7%,±0.2,"2,082,728","±5,474",71.5%,±0.2,"3,277,406","±5,612",73.4%,±0.1,"3,371,916","±8,144",72.5%,±0.2,"1,049,640","±2,662",78.1%,±0.2,"4,476,458","±6,045",74.0%,±0.1,"5,236,619","±7,538",76.0%,±0.1,"7,428,907","±7,527",74.4%,±0.1,"4,122,678","±5,580",73.1%,±0.1,"2,131,424","±8,310",71.6%,±0.3,"4,522,768","±7,425",73.7%,±0.1,"798,199","±3,030",74.7%,±0.3,"1,377,093","±3,723",71.2%,±0.2,"2,281,239","±3,758",74.1%,±0.1,"1,045,381","±2,995",76.9%,±0.2,"6,620,377","±6,729",74.5%,±0.1,"1,536,368","±4,192",73.3%,±0.2,"14,674,437","±9,475",75.4%,±0.1,"7,730,808","±11,586",73.7%,±0.1,"553,228","±3,259",72.6%,±0.4,"8,627,797","±7,914",73.8%,±0.1,"2,831,196","±4,828",71.5%,±0.1,"3,200,622","±6,110",75.9%,±0.1,"9,660,388","±7,896",75.5%,±0.1,"800,805","±3,429",75.6%,±0.3,"3,813,659","±7,430",74.1%,±0.1,"635,739","±3,005",71.9%,±0.3,"5,043,319","±8,414",73.8%,±0.1,"20,340,329","±15,537",70.1%,±0.1,"2,127,694","±4,333",66.4%,±0.1,"478,059","±2,197",76.6%,±0.4,"6,320,168","±9,171",74.0%,±0.1,"5,675,664","±8,030",74.5%,±0.1,"1,365,932","±3,660",76.2%,±0.2,"4,317,545","±5,811",74.2%,±0.1,"418,893","±3,743",72.4%,±0.6,"2,480,442","±4,080",77.7%,±0.1
62 years and over,"1,047,557","±7,685",21.4%,±0.2,"118,043","±2,889",16.1%,±0.4,"1,564,977","±7,574",21.5%,±0.1,"636,003","±6,043",21.1%,±0.2,"7,171,107","±17,345",18.1%,±0.1,"1,053,116","±6,547",18.3%,±0.1,"776,789","±6,672",21.8%,±0.2,"233,237","±3,116",24.0%,±0.3,"106,806","±2,345",15.1%,±0.3,"5,341,094","±14,478",24.9%,±0.1,"1,882,894","±11,594",17.7%,±0.1,"326,379","±3,514",23.1%,±0.2,"356,082","±4,713",19.9%,±0.3,"2,520,297","±10,989",19.9%,±0.1,"1,338,492","±7,841",19.9%,±0.1,"674,770","±4,257",21.4%,±0.1,"591,393","±4,900",20.3%,±0.2,"930,315","±7,103",20.8%,±0.2,"928,680","±7,633",20.0%,±0.2,"352,172","±3,759",26.2%,±0.3,"1,195,609","±7,552",19.8%,±0.1,"1,447,056","±8,293",21.0%,±0.1,"2,183,374","±9,059",21.9%,±0.1,"1,136,366","±5,642",20.1%,±0.1,"601,013","±6,440",20.2%,±0.2,"1,303,564","±8,179",21.2%,±0.1,"253,310","±2,951",23.7%,±0.3,"384,839","±3,710",19.9%,±0.2,"608,048","±5,687",19.7%,±0.2,"313,400","±3,736",23.0%,±0.3,"1,827,849","±9,197",20.6%,±0.1,"463,304","±4,639",22.1%,±0.2,"4,044,590","±14,715",20.8%,±0.1,"2,131,408","±10,200",20.3%,±0.1,"146,102","±2,126",19.2%,±0.3,"2,525,748","±9,781",21.6%,±0.1,"780,134","±4,868",19.7%,±0.1,"933,533","±6,563",22.1%,±0.2,"2,929,770","±10,053",22.9%,±0.1,"233,154","±3,346",22.0%,±0.3,"1,137,680","±6,761",22.1%,±0.1,"189,348","±2,832",21.4%,±0.3,"1,393,059","±8,255",20.4%,±0.1,"4,668,269","±13,423",16.1%,±0.1,"455,265","±4,763",14.2%,±0.1,"155,355","±2,426",24.9%,±0.4,"1,674,921","±10,004",19.6%,±0.1,"1,492,179","±8,233",19.6%,±0.1,"450,826","±4,214",25.2%,±0.2,"1,263,529","±5,982",21.7%,±0.1,"122,855","±2,731",21.2%,±0.5,"805,090","±4,921",25.2%,±0.2
65 years and over,"854,312","±4,129",17.4%,±0.1,"90,588","±1,976",12.4%,±0.3,"1,307,241","±2,454",18.0%,±0.1,"524,237","±3,003",17.4%,±0.1,"5,834,998","±3,410",14.8%,±0.1,"845,378","±2,348",14.7%,±0.1,"629,032","±1,592",17.6%,±0.1,"189,638",±699,19.5%,±0.1,"87,537",±311,12.4%,±0.1,"4,498,198","±4,208",20.9%,±0.1,"1,523,192","±5,016",14.3%,±0.1,"269,470","±1,004",19.0%,±0.1,"288,617","±1,965",16.2%,±0.1,"2,045,361","±3,316",16.1%,±0.1,"1,084,472","±3,144",16.1%,±0.1,"553,575","±1,970",17.5%,±0.1,"477,996","±2,403",16.4%,±0.1,"754,559","±3,321",16.9%,±0.1,"742,194","±3,286",16.0%,±0.1,"285,978","±1,199",21.3%,±0.1,"959,887","±2,581",15.9%,±0.1,"1,172,293","±2,399",17.0%,±0.1,"1,766,409","±3,017",17.7%,±0.1,"921,491","±2,496",16.3%,±0.1,"486,804","±2,647",16.4%,±0.1,"1,057,943","±2,833",17.2%,±0.1,"207,909","±1,531",19.5%,±0.1,"312,295","±1,827",16.1%,±0.1,"498,219","±1,593",16.2%,±0.1,"253,147","±1,491",18.6%,±0.1,"1,475,075","±1,131",16.6%,±0.1,"377,730","±2,165",18.0%,±0.1,"3,295,968","±3,163",16.9%,±0.1,"1,750,935","±4,241",16.7%,±0.1,"120,177","±1,213",15.8%,±0.2,"2,043,548","±3,206",17.5%,±0.1,"635,222","±2,241",16.1%,±0.1,"767,496","±2,795",18.2%,±0.1,"2,388,218","±2,997",18.7%,±0.1,"187,155","±1,079",17.7%,±0.1,"935,538","±2,815",18.2%,±0.1,"153,799","±1,285",17.4%,±0.1,"1,138,965","±3,708",16.7%,±0.1,"3,738,727","±6,714",12.9%,±0.1,"365,198","±1,833",11.4%,±0.1,"125,201",±767,20.1%,±0.1,"1,358,336","±4,164",15.9%,±0.1,"1,207,685","±2,945",15.9%,±0.1,"367,400","±2,005",20.5%,±0.1,"1,019,896","±2,498",17.5%,±0.1,"98,789","±1,496",17.1%,±0.3,"679,665",*****,21.3%,*****
18 years and over,"3,817,588","±2,862","3,817,588",(X),"551,796",±386,"551,796",(X),"5,639,069","±1,034","5,639,069",(X),"2,318,792","±2,808","2,318,792",(X),"30,621,159","±3,413","30,621,159",(X),"4,502,416","±1,970","4,502,416",(X),"2,837,855","±1,496","2,837,855",(X),"769,818",±709,"769,818",(X),"577,848",±4,"577,848",(X),"17,245,782","±3,040","17,245,782",(X),"8,114,394","±3,987","8,114,394",(X),"1,115,685",±460,"1,115,685",(X),"1,337,710","±1,665","1,337,710",(X),"9,857,142","±2,397","9,857,142",(X),"5,164,798","±3,427","5,164,798",(X),"2,433,240","±2,587","2,433,240",(X),"2,213,013","±2,438","2,213,013",(X),"3,465,848","±3,100","3,465,848",(X),"3,563,908","±2,212","3,563,908",(X),"1,097,859","±1,170","1,097,859",(X),"4,713,393","±1,637","4,713,393",(X),"5,540,726","±1,391","5,540,726",(X),"7,844,035","±2,340","7,844,035",(X),"4,336,963","±1,816","4,336,963",(X),"2,277,729","±2,060","2,277,729",(X),"4,764,733","±3,616","4,764,733",(X),"842,254","±1,539","842,254",(X),"1,459,312","±1,450","1,459,312",(X),"2,389,419","±1,212","2,389,419",(X),"1,103,691","±1,330","1,103,691",(X),"6,944,166",±691,"6,944,166",(X),"1,622,979","±1,372","1,622,979",(X),"15,431,465","±2,891","15,431,465",(X),"8,194,112","±3,341","8,194,112",(X),"585,356","±2,389","585,356",(X),"9,114,253","±2,785","9,114,253",(X),"3,004,742","±1,544","3,004,742",(X),"3,354,921","±1,582","3,354,921",(X),"10,169,664","±2,015","10,169,664",(X),"855,786",±974,"855,786",(X),"4,036,414","±2,412","4,036,414",(X),"669,390","±1,673","669,390",(X),"5,318,422","±4,152","5,318,422",(X),"21,599,250","±4,425","21,599,250",(X),"2,275,650",±911,"2,275,650",(X),"510,430","±1,129","510,430",(X),"6,677,914","±3,452","6,677,914",(X),"5,951,928","±2,602","5,951,928",(X),"1,433,329","±1,340","1,433,329",(X),"4,559,022","±2,159","4,559,022",(X),"444,570","±1,722","444,570",(X),"2,620,960",*****,"2,620,960",(X)
Male,"1,812,854","±3,140",47.5%,±0.1,"287,256","±1,551",52.1%,±0.3,"2,782,081","±1,779",49.3%,±0.1,"1,119,340","±3,259",48.3%,±0.1,"15,100,913","±5,165",49.3%,±0.1,"2,259,424","±3,118",50.2%,±0.1,"1,370,524","±2,205",48.3%,±0.1,"366,941",±724,47.7%,±0.1,"269,578",±464,46.7%,±0.1,"8,334,993","±4,508",48.3%,±0.1,"3,879,247","±5,354",47.8%,±0.1,"553,276",±875,49.6%,±0.1,"667,208","±2,588",49.9%,±0.2,"4,784,829","±3,098",48.5%,±0.1,"2,513,202","±3,915",48.7%,±0.1,"1,199,888","±3,438",49.3%,±0.1,"1,090,733","±3,324",49.3%,±0.1,"1,683,676","±3,831",48.6%,±0.1,"1,709,791","±3,398",48.0%,±0.1,"530,772","±2,010",48.3%,±0.2,"2,249,586","±2,411",47.7%,±0.1,"2,654,903","±2,778",47.9%,±0.1,"3,820,907","±3,309",48.7%,±0.1,"2,139,845","±2,863",49.3%,±0.1,"1,083,089","±2,839",47.6%,±0.1,"2,305,849","±4,147",48.4%,±0.1,"420,243","±1,964",49.9%,±0.2,"721,812","±1,800",49.5%,±0.1,"1,191,972","±1,660",49.9%,±0.1,"542,357","±1,737",49.1%,±0.1,"3,351,015","±1,244",48.3%,±0.1,"794,464","±2,182",49.0%,±0.1,"7,388,570","±3,644",47.9%,±0.1,"3,922,178","±4,479",47.9%,±0.1,"298,181","±2,235",50.9%,±0.3,"4,411,835","±4,606",48.4%,±0.1,"1,470,313","±2,581",48.9%,±0.1,"1,647,172","±2,804",49.1%,±0.1,"4,925,483","±3,380",48.4%,±0.1,"412,642","±1,448",48.2%,±0.2,"1,922,777","±2,756",47.6%,±0.1,"335,932","±1,993",50.2%,±0.3,"2,554,545","±5,069",48.0%,±0.1,"10,618,690","±6,453",49.2%,±0.1,"1,134,329","±2,160",49.8%,±0.1,"250,316","±1,225",49.0%,±0.2,"3,246,462","±4,360",48.6%,±0.1,"2,958,683","±3,152",49.7%,±0.1,"702,698","±2,023",49.0%,±0.1,"2,247,843","±3,054",49.3%,±0.1,"226,129","±1,896",50.9%,±0.4,"1,224,344",*****,46.7%,*****
Female,"2,004,734","±2,779",52.5%,±0.1,"264,540","±1,514",47.9%,±0.3,"2,856,988","±1,489",50.7%,±0.1,"1,199,452","±2,890",51.7%,±0.1,"15,520,246","±3,767",50.7%,±0.1,"2,242,992","±2,792",49.8%,±0.1,"1,467,331","±1,529",51.7%,±0.1,"402,877",±744,52.3%,±0.1,"308,270",±464,53.3%,±0.1,"8,910,789","±3,567",51.7%,±0.1,"4,235,147","±5,246",52.2%,±0.1,"562,409",±666,50.4%,±0.1,"670,502","±2,092",50.1%,±0.2,"5,072,313","±3,331",51.5%,±0.1,"2,651,596","±3,825",51.3%,±0.1,"1,233,352","±3,227",50.7%,±0.1,"1,122,280","±2,762",50.7%,±0.1,"1,782,172","±3,248",51.4%,±0.1,"1,854,117","±3,403",52.0%,±0.1,"567,087","±1,807",51.7%,±0.2,"2,463,807","±2,378",52.3%,±0.1,"2,885,823","±2,318",52.1%,±0.1,"4,023,128","±2,966",51.3%,±0.1,"2,197,118","±2,890",50.7%,±0.1,"1,194,640","±2,034",52.4%,±0.1,"2,458,884","±3,634",51.6%,±0.1,"422,011","±1,887",50.1%,±0.2,"737,500","±1,765",50.5%,±0.1,"1,197,447","±1,233",50.1%,±0.1,"561,334","±1,567",50.9%,±0.1,"3,593,151","±1,318",51.7%,±0.1,"828,515","±1,884",51.0%,±0.1,"8,042,895","±2,798",52.1%,±0.1,"4,271,934","±4,100",52.1%,±0.1,"287,175","±2,115",49.1%,±0.3,"4,702,418","±4,317",51.6%,±0.1,"1,534,429","±2,101",51.1%,±0.1,"1,707,749","±2,694",50.9%,±0.1,"5,244,181","±2,698",51.6%,±0.1,"443,144","±1,313",51.8%,±0.2,"2,113,637","±2,719",52.4%,±0.1,"333,458","±1,951",49.8%,±0.3,"2,763,877","±3,942",52.0%,±0.1,"10,980,560","±5,387",50.8%,±0.1,"1,141,321","±2,013",50.2%,±0.1,"260,114","±1,219",51.0%,±0.2,"3,431,452","±3,884",51.4%,±0.1,"2,993,245","±2,643",50.3%,±0.1,"730,631","±2,041",51.0%,±0.1,"2,311,179","±2,615",50.7%,±0.1,"218,441","±1,870",49.1%,±0.4,"1,396,616",*****,53.3%,*****
Sex ratio (males per 100 females),90.4,±0.2,(X),(X),108.6,±1.2,(X),(X),97.4,±0.1,(X),(X),93.3,±0.4,(X),(X),97.3,±0.1,(X),(X),100.7,±0.2,(X),(X),93.4,±0.2,(X),(X),91.1,±0.3,(X),(X),87.4,±0.3,(X),(X),93.5,±0.1,(X),(X),91.6,±0.2,(X),(X),98.4,±0.3,(X),(X),99.5,±0.7,(X),(X),94.3,±0.1,(X),(X),94.8,±0.3,(X),(X),97.3,±0.5,(X),(X),97.2,±0.5,(X),(X),94.5,±0.3,(X),(X),92.2,±0.3,(X),(X),93.6,±0.6,(X),(X),91.3,±0.2,(X),(X),92.0,±0.2,(X),(X),95.0,±0.1,(X),(X),97.4,±0.2,(X),(X),90.7,±0.4,(X),(X),93.8,±0.3,(X),(X),99.6,±0.8,(X),(X),97.9,±0.4,(X),(X),99.5,±0.2,(X),(X),96.6,±0.5,(X),(X),93.3,±0.1,(X),(X),95.9,±0.5,(X),(X),91.9,±0.1,(X),(X),91.8,±0.2,(X),(X),103.8,±1.3,(X),(X),93.8,±0.2,(X),(X),95.8,±0.3,(X),(X),96.5,±0.3,(X),(X),93.9,±0.1,(X),(X),93.1,±0.6,(X),(X),91.0,±0.2,(X),(X),100.7,±1.1,(X),(X),92.4,±0.3,(X),(X),96.7,±0.1,(X),(X),99.4,±0.4,(X),(X),96.2,±0.8,(X),(X),94.6,±0.2,(X),(X),98.8,±0.2,(X),(X),96.2,±0.5,(X),(X),97.3,±0.2,(X),(X),103.5,±1.6,(X),(X),87.7,*****,(X),(X)
65 years and over,"854,312","±4,129","854,312",(X),"90,588","±1,976","90,588",(X),"1,307,241","±2,454","1,307,241",(X),"524,237","±3,003","524,237",(X),"5,834,998","±3,410","5,834,998",(X),"845,378","±2,348","845,378",(X),"629,032","±1,592","629,032",(X),"189,638",±699,"189,638",(X),"87,537",±311,"87,537",(X),"4,498,198","±4,208","4,498,198",(X),"1,523,192","±5,016","1,523,192",(X),"269,470","±1,004","269,470",(X),"288,617","±1,965","288,617",(X),"2,045,361","±3,316","2,045,361",(X),"1,084,472","±3,144","1,084,472",(X),"553,575","±1,970","553,575",(X),"477,996","±2,403","477,996",(X),"754,559","±3,321","754,559",(X),"742,194","±3,286","742,194",(X),"285,978","±1,199","285,978",(X),"959,887","±2,581","959,887",(X),"1,172,293","±2,399","1,172,293",(X),"1,766,409","±3,017","1,766,409",(X),"921,491","±2,496","921,491",(X),"486,804","±2,647","486,804",(X),"1,057,943","±2,833","1,057,943",(X),"207,909","±1,531","207,909",(X),"312,295","±1,827","312,295",(X),"498,219","±1,593","498,219",(X),"253,147","±1,491","253,147",(X),"1,475,075","±1,131","1,475,075",(X),"377,730","±2,165","377,730",(X),"3,295,968","±3,163","3,295,968",(X),"1,750,935","±4,241","1,750,935",(X),"120,177","±1,213","120,177",(X),"2,043,548","±3,206","2,043,548",(X),"635,222","±2,241","635,222",(X),"767,496","±2,795","767,496",(X),"2,388,218","±2,997","2,388,218",(X),"187,155","±1,079","187,155",(X),"935,538","±2,815","935,538",(X),"153,799","±1,285","153,799",(X),"1,138,965","±3,708","1,138,965",(X),"3,738,727","±6,714","3,738,727",(X),"365,198","±1,833","365,198",(X),"125,201",±767,"125,201",(X),"1,358,336","±4,164","1,358,336",(X),"1,207,685","±2,945","1,207,685",(X),"367,400","±2,005","367,400",(X),"1,019,896","±2,498","1,019,896",(X),"98,789","±1,496","98,789",(X),"679,665",*****,"679,665",(X)
Male,"373,043","±2,506",43.7%,±0.2,"44,793","±1,496",49.4%,±1.0,"601,487","±1,637",46.0%,±0.1,"232,005","±1,844",44.3%,±0.3,"2,599,843","±2,570",44.6%,±0.1,"386,512","±1,570",45.7%,±0.1,"275,627","±1,224",43.8%,±0.1,"85,168",±583,44.9%,±0.2,"36,051",±313,41.2%,±0.2,"2,027,375","±2,643",45.1%,±0.1,"662,398","±3,446",43.5%,±0.2,"121,737",±638,45.2%,±0.2,"136,800","±1,205",47.4%,±0.3,"896,075","±2,366",43.8%,±0.1,"478,723","±2,169",44.1%,±0.1,"248,183","±1,205",44.8%,±0.2,"214,284","±1,457",44.8%,±0.2,"334,341","±2,055",44.3%,±0.2,"326,225","±2,271",44.0%,±0.2,"129,992",±742,45.5%,±0.2,"414,847","±1,727",43.2%,±0.1,"509,671","±1,965",43.5%,±0.1,"792,315","±1,918",44.9%,±0.1,"419,762","±1,695",45.6%,±0.1,"211,345","±2,032",43.4%,±0.3,"466,798","±1,790",44.1%,±0.1,"99,184",±892,47.7%,±0.3,"140,423",±999,45.0%,±0.2,"234,224","±1,048",47.0%,±0.1,"115,047",±938,45.4%,±0.3,"637,714",±863,43.2%,±0.1,"172,506","±1,242",45.7%,±0.2,"1,421,801","±2,281",43.1%,±0.1,"765,681","±3,135",43.7%,±0.1,"55,172",±587,45.9%,±0.4,"899,913","±2,241",44.0%,±0.1,"283,968","±1,369",44.7%,±0.2,"349,745","±1,712",45.6%,±0.2,"1,047,452","±1,840",43.9%,±0.1,"81,108",±742,43.3%,±0.3,"415,399","±1,769",44.4%,±0.1,"71,292",±773,46.4%,±0.4,"501,274","±2,121",44.0%,±0.1,"1,667,064","±3,806",44.6%,±0.1,"170,806","±1,293",46.8%,±0.2,"57,785",±706,46.2%,±0.4,"600,500","±2,669",44.2%,±0.1,"550,840","±1,615",45.6%,±0.1,"167,237","±1,169",45.5%,±0.2,"465,462","±1,401",45.6%,±0.1,"47,284",±831,47.9%,±0.6,"295,255",*****,43.4%,*****
Female,"481,269","±2,580",56.3%,±0.2,"45,795","±1,219",50.6%,±1.0,"705,754","±1,584",54.0%,±0.1,"292,232","±2,309",55.7%,±0.3,"3,235,155","±2,526",55.4%,±0.1,"458,866","±1,885",54.3%,±0.1,"353,405","±1,195",56.2%,±0.1,"104,470",±404,55.1%,±0.2,"51,486",±77,58.8%,±0.2,"2,470,823","±3,899",54.9%,±0.1,"860,794","±3,326",56.5%,±0.2,"147,733",±707,54.8%,±0.2,"151,817","±1,370",52.6%,±0.3,"1,149,286","±2,302",56.2%,±0.1,"605,749","±2,321",55.9%,±0.1,"305,392","±1,584",55.2%,±0.2,"263,712","±1,770",55.2%,±0.2,"420,218","±2,166",55.7%,±0.2,"415,969","±2,252",56.0%,±0.2,"155,986",±934,54.5%,±0.2,"545,040","±1,750",56.8%,±0.1,"662,622","±1,520",56.5%,±0.1,"974,094","±1,971",55.1%,±0.1,"501,729","±1,772",54.4%,±0.1,"275,459","±1,596",56.6%,±0.3,"591,145","±2,027",55.9%,±0.1,"108,725","±1,097",52.3%,±0.3,"171,872","±1,308",55.0%,±0.2,"263,995","±1,038",53.0%,±0.1,"138,100","±1,073",54.6%,±0.3,"837,361",±961,56.8%,±0.1,"205,224","±1,458",54.3%,±0.2,"1,874,167","±1,900",56.9%,±0.1,"985,254","±2,748",56.3%,±0.1,"65,005",±954,54.1%,±0.4,"1,143,635","±2,019",56.0%,±0.1,"351,254","±1,695",55.3%,±0.2,"417,751","±2,505",54.4%,±0.2,"1,340,766","±2,251",56.1%,±0.1,"106,047",±890,56.7%,±0.3,"520,139","±2,130",55.6%,±0.1,"82,507",±993,53.6%,±0.4,"637,691","±2,698",56.0%,±0.1,"2,071,663","±4,813",55.4%,±0.1,"194,392","±1,286",53.2%,±0.2,"67,416",±483,53.8%,±0.4,"757,836","±3,104",55.8%,±0.1,"656,845","±2,362",54.4%,±0.1,"200,163","±1,421",54.5%,±0.2,"554,434","±1,698",54.4%,±0.1,"51,505","±1,053",52.1%,±0.6,"384,410",*****,56.6%,*****
Sex ratio (males per 100 females),77.5,±0.6,(X),(X),97.8,±4.1,(X),(X),85.2,±0.3,(X),(X),79.4,±0.9,(X),(X),80.4,±0.1,(X),(X),84.2,±0.5,(X),(X),78.0,±0.5,(X),(X),81.5,±0.6,(X),(X),70.0,±0.6,(X),(X),82.1,±0.2,(X),(X),77.0,±0.5,(X),(X),82.4,±0.6,(X),(X),90.1,±1.0,(X),(X),78.0,±0.3,(X),(X),79.0,±0.5,(X),(X),81.3,±0.6,(X),(X),81.3,±0.7,(X),(X),79.6,±0.6,(X),(X),78.4,±0.7,(X),(X),83.3,±0.7,(X),(X),76.1,±0.4,(X),(X),76.9,±0.4,(X),(X),81.3,±0.2,(X),(X),83.7,±0.4,(X),(X),76.7,±0.8,(X),(X),79.0,±0.4,(X),(X),91.2,±1.1,(X),(X),81.7,±0.7,(X),(X),88.7,±0.5,(X),(X),83.3,±0.9,(X),(X),76.2,±0.1,(X),(X),84.1,±0.7,(X),(X),75.9,±0.1,(X),(X),77.7,±0.4,(X),(X),84.9,±1.4,(X),(X),78.7,±0.2,(X),(X),80.8,±0.5,(X),(X),83.7,±0.7,(X),(X),78.1,±0.2,(X),(X),76.5,±1.0,(X),(X),79.9,±0.5,(X),(X),86.4,±1.4,(X),(X),78.6,±0.4,(X),(X),80.5,±0.2,(X),(X),87.9,±0.9,(X),(X),85.7,±1.3,(X),(X),79.2,±0.5,(X),(X),83.9,±0.4,(X),(X),83.6,±0.7,(X),(X),84.0,±0.3,(X),(X),91.8,±2.1,(X),(X),76.8,*****,(X),(X)
RACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total population,"4,903,185",*****,"4,903,185",(X),"731,545",*****,"731,545",(X),"7,278,717",*****,"7,278,717",(X),"3,017,804",*****,"3,017,804",(X),"39,512,223",*****,"39,512,223",(X),"5,758,736",*****,"5,758,736",(X),"3,565,287",*****,"3,565,287",(X),"973,764",*****,"973,764",(X),"705,749",*****,"705,749",(X),"21,477,737",*****,"21,477,737",(X),"10,617,423",*****,"10,617,423",(X),"1,415,872",*****,"1,415,872",(X),"1,787,065",*****,"1,787,065",(X),"12,671,821",*****,"12,671,821",(X),"6,732,219",*****,"6,732,219",(X),"3,155,070",*****,"3,155,070",(X),"2,913,314",*****,"2,913,314",(X),"4,467,673",*****,"4,467,673",(X),"4,648,794",*****,"4,648,794",(X),"1,344,212",*****,"1,344,212",(X),"6,045,680",*****,"6,045,680",(X),"6,892,503",*****,"6,892,503",(X),"9,986,857",*****,"9,986,857",(X),"5,639,632",*****,"5,639,632",(X),"2,976,149",*****,"2,976,149",(X),"6,137,428",*****,"6,137,428",(X),"1,068,778",*****,"1,068,778",(X),"1,934,408",*****,"1,934,408",(X),"3,080,156",*****,"3,080,156",(X),"1,359,711",*****,"1,359,711",(X),"8,882,190",*****,"8,882,190",(X),"2,096,829",*****,"2,096,829",(X),"19,453,561",*****,"19,453,561",(X),"10,488,084",*****,"10,488,084",(X),"762,062",*****,"762,062",(X),"11,689,100",*****,"11,689,100",(X),"3,956,971",*****,"3,956,971",(X),"4,217,737",*****,"4,217,737",(X),"12,801,989",*****,"12,801,989",(X),"1,059,361",*****,"1,059,361",(X),"5,148,714",*****,"5,148,714",(X),"884,659",*****,"884,659",(X),"6,829,174",*****,"6,829,174",(X),"28,995,881",*****,"28,995,881",(X),"3,205,958",*****,"3,205,958",(X),"623,989",*****,"623,989",(X),"8,535,519",*****,"8,535,519",(X),"7,614,893",*****,"7,614,893",(X),"1,792,147",*****,"1,792,147",(X),"5,822,434",*****,"5,822,434",(X),"578,759",*****,"578,759",(X),"3,193,694",*****,"3,193,694",(X)
