county,SEX AND AGE,total population,male,female,SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 5 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!18 years and over.1,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over.1,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),RACE,race,RACE!!Total population!!One race,RACE!!Total population!!Two or more races,RACE!!Total population!!One race.1,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races.1,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races,Race alone or in combination with one or more other races!!Total population,white,black or African American,American Indian and Alaska Native,Asian,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,HISPANIC OR LATINO AND RACE,HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",Total housing units,"CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Flagler County, Florida",,"109,801",47.7%,52.3%,91.3,3.9%,4.7%,5.3%,5.6%,4.2%,8.8%,9.8%,12.1%,7.3%,8.4%,17.5%,9.6%,2.9%,51.3,17.2%,85.0%,82.8%,79.4%,34.9%,30.0%,"90,969",47.5%,52.5%,90.4,"32,922",47.7%,52.3%,91.1,,"109,801",97.8%,2.2%,97.8%,82.3%,10.0%,0.3%,0.0%,0.0%,0.0%,0.0%,2.6%,0.5%,0.1%,1.3%,0.0%,0.1%,0.1%,0.5%,0.1%,0.0%,0.0%,0.0%,0.1%,2.5%,2.2%,0.9%,0.3%,0.3%,0.0%,,"109,801",84.4%,11.1%,0.7%,3.0%,0.3%,2.8%,,"109,801",10.4%,1.3%,5.5%,0.9%,2.7%,89.6%,74.7%,9.9%,0.3%,2.6%,0.1%,0.2%,1.8%,0.1%,1.7%,"51,757",,"87,530",47.4%,52.6%
"Franklin County, Florida",,"11,811",57.0%,43.0%,132.6,4.4%,4.0%,5.2%,4.2%,4.9%,14.3%,11.8%,13.5%,7.3%,7.8%,14.1%,6.0%,2.6%,46.4,16.1%,85.3%,83.9%,81.0%,27.8%,22.7%,"9,913",57.7%,42.3%,136.5,"2,681",49.9%,50.1%,99.8,,"11,811",98.5%,1.5%,98.5%,80.9%,14.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.1%,0.1%,0.0%,0.0%,0.2%,0.4%,0.0%,0.0%,0.4%,0.0%,2.7%,1.5%,0.6%,0.7%,0.0%,0.0%,,"11,811",82.2%,14.9%,0.8%,0.3%,0.4%,2.9%,,"11,811",5.5%,1.6%,1.6%,0.3%,1.9%,94.5%,77.1%,13.8%,0.0%,0.3%,0.4%,1.4%,1.5%,0.2%,1.3%,"8,725",,"9,734",57.6%,42.4%
"Gadsden County, Florida",,"45,945",47.4%,52.6%,90.2,5.9%,5.9%,6.4%,5.7%,6.0%,12.1%,13.2%,13.1%,6.5%,7.8%,10.3%,5.2%,1.8%,40.8,21.9%,80.0%,78.1%,75.0%,22.2%,17.3%,"35,902",46.8%,53.2%,88.1,"7,957",43.5%,56.5%,77.1,,"45,945",99.0%,1.0%,99.0%,39.6%,56.1%,0.2%,0.1%,0.0%,0.0%,0.0%,0.2%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.9%,1.0%,0.4%,0.1%,0.0%,0.2%,,"45,945",40.3%,56.9%,0.6%,0.3%,0.1%,3.0%,,"45,945",10.4%,7.0%,0.4%,0.5%,2.6%,89.6%,32.3%,55.8%,0.1%,0.2%,0.0%,0.3%,0.9%,0.1%,0.8%,"20,293",,"34,429",46.1%,53.9%
"Gilchrist County, Florida",,"17,953",52.4%,47.6%,110.3,4.9%,4.3%,6.3%,9.3%,6.8%,10.3%,10.9%,12.6%,7.6%,6.7%,11.5%,5.9%,2.8%,42.1,20.8%,83.0%,79.2%,73.8%,24.5%,20.3%,"14,216",51.9%,48.1%,107.8,"3,637",45.3%,54.7%,82.9,,"17,953",97.9%,2.1%,97.9%,91.2%,5.9%,0.1%,0.1%,0.0%,0.0%,0.0%,0.2%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.4%,2.1%,0.9%,1.0%,0.0%,0.1%,,"17,953",93.2%,6.9%,1.2%,0.3%,0.0%,0.6%,,"17,953",5.8%,2.4%,0.7%,0.7%,2.0%,94.2%,86.2%,5.7%,0.0%,0.2%,0.0%,0.0%,2.0%,0.0%,2.0%,"7,550",,"13,789",51.9%,48.1%
"Glades County, Florida",,"13,516",55.6%,44.4%,125.0,3.2%,3.9%,6.2%,6.3%,4.9%,11.4%,11.2%,13.2%,6.9%,5.9%,14.7%,9.6%,2.7%,47.9,15.4%,85.4%,84.6%,79.8%,30.9%,26.9%,"11,436",56.5%,43.5%,129.9,"3,638",52.7%,47.3%,111.5,,"13,516",98.9%,1.1%,98.9%,79.8%,13.5%,4.0%,0.2%,0.0%,0.0%,0.0%,0.8%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.9%,1.1%,0.1%,0.6%,0.0%,0.0%,,"13,516",80.8%,13.8%,4.8%,0.9%,0.0%,1.1%,,"13,516",21.3%,12.5%,1.5%,2.7%,4.6%,78.7%,59.7%,13.0%,3.8%,0.8%,0.0%,0.4%,1.0%,0.1%,0.9%,"7,056",,"10,435",57.8%,42.2%
"Gulf County, Florida",,"15,576",58.5%,41.5%,140.9,4.6%,5.0%,3.9%,4.5%,5.2%,14.6%,12.2%,14.2%,7.8%,7.2%,12.5%,6.3%,1.9%,44.9,16.3%,85.7%,83.7%,80.9%,25.1%,20.7%,"13,038",59.4%,40.6%,146.1,"3,221",48.6%,51.4%,94.6,,"15,576",98.3%,1.7%,98.3%,79.5%,17.2%,0.4%,0.0%,0.0%,0.1%,0.0%,0.5%,0.0%,0.3%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.7%,1.7%,0.6%,0.8%,0.1%,0.1%,,"15,576",81.1%,17.9%,1.3%,0.7%,0.0%,0.7%,,"15,576",4.4%,1.6%,1.0%,0.8%,0.9%,95.6%,76.3%,16.6%,0.4%,0.5%,0.0%,0.1%,1.7%,0.0%,1.7%,"9,567",,"12,750",58.8%,41.2%
"Hamilton County, Florida",,"14,326",58.7%,41.3%,141.9,4.4%,5.9%,5.3%,5.8%,6.0%,15.8%,12.0%,14.0%,7.4%,6.3%,10.7%,4.8%,1.5%,40.9,19.1%,83.3%,80.9%,77.5%,20.1%,17.0%,"11,594",59.4%,40.6%,146.4,"2,431",46.0%,54.0%,85.1,,"14,326",98.5%,1.5%,98.5%,61.5%,34.5%,1.2%,0.1%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.1%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,1.1%,1.5%,0.6%,0.5%,0.0%,0.0%,,"14,326",62.6%,35.3%,1.6%,0.6%,0.3%,1.1%,,"14,326",9.4%,3.8%,1.5%,1.3%,2.8%,90.6%,54.7%,33.6%,0.6%,0.1%,0.0%,0.1%,1.3%,0.0%,1.3%,"5,827",,"11,129",59.7%,40.3%
"Hardee County, Florida",,"27,131",54.2%,45.8%,118.2,6.5%,7.3%,7.8%,7.2%,6.8%,13.5%,12.2%,12.0%,5.1%,5.8%,8.8%,5.1%,1.8%,35.4,26.2%,76.5%,73.8%,69.8%,19.7%,15.8%,"20,020",53.8%,46.2%,116.2,"4,285",47.5%,52.5%,90.5,,"27,131",98.9%,1.1%,98.9%,80.4%,7.6%,0.1%,0.0%,0.0%,0.0%,0.0%,0.9%,0.1%,0.2%,0.5%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,9.8%,1.1%,0.5%,0.4%,0.0%,0.0%,,"27,131",81.4%,8.1%,0.4%,0.9%,0.1%,10.1%,,"27,131",43.6%,36.0%,3.0%,1.3%,3.2%,56.4%,47.1%,7.4%,0.1%,0.9%,0.1%,0.0%,0.8%,0.0%,0.8%,"9,763",,"18,385",53.4%,46.6%
"Hendry County, Florida",,"40,732",53.0%,47.0%,112.9,7.4%,6.6%,8.4%,7.1%,7.4%,13.5%,12.4%,13.0%,6.4%,4.6%,7.3%,4.3%,1.6%,34.0,27.0%,76.1%,73.0%,69.4%,15.7%,13.1%,"29,750",53.0%,47.0%,112.8,"5,345",50.1%,49.9%,100.3,,"40,732",96.7%,3.3%,96.7%,78.6%,11.5%,1.8%,0.1%,0.0%,0.0%,0.1%,0.9%,0.0%,0.1%,0.5%,0.0%,0.0%,0.1%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,3.9%,3.3%,2.3%,0.3%,0.0%,0.0%,,"40,732",81.6%,14.0%,2.3%,1.1%,0.2%,4.4%,,"40,732",53.7%,32.6%,3.0%,9.1%,9.0%,46.3%,32.0%,11.0%,1.4%,0.9%,0.0%,0.1%,0.9%,0.3%,0.6%,"14,804",,"22,901",50.1%,49.9%
"Hernando County, Florida",,"186,313",48.0%,52.0%,92.4,4.5%,4.8%,5.7%,5.4%,4.8%,10.1%,10.2%,12.5%,7.3%,7.2%,14.8%,9.3%,3.4%,49.0,18.5%,83.7%,81.5%,78.6%,32.0%,27.5%,"151,898",47.5%,52.5%,90.4,"51,205",46.4%,53.6%,86.5,,"186,313",97.3%,2.7%,97.3%,88.7%,5.3%,0.3%,0.1%,0.0%,0.0%,0.0%,1.2%,0.4%,0.2%,0.3%,0.1%,0.0%,0.1%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,1.7%,2.7%,0.9%,0.4%,0.4%,0.0%,,"186,313",91.2%,6.6%,0.9%,2.0%,0.3%,2.1%,,"186,313",13.5%,1.1%,7.6%,1.6%,3.2%,86.5%,77.5%,4.9%,0.3%,1.2%,0.0%,0.6%,1.9%,0.0%,1.9%,"86,898",,"148,358",47.5%,52.5%
"Highlands County, Florida",,"103,437",48.7%,51.3%,94.9,4.7%,4.4%,5.2%,4.8%,4.5%,9.5%,8.7%,9.9%,6.5%,6.7%,16.9%,13.4%,4.8%,53.5,17.2%,84.8%,82.8%,79.6%,39.1%,35.2%,"85,665",48.2%,51.8%,93.2,"36,409",46.8%,53.2%,88.0,,"103,437",97.9%,2.1%,97.9%,80.8%,9.7%,0.2%,0.0%,0.0%,0.0%,0.0%,1.4%,0.3%,0.1%,0.9%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5.9%,2.1%,0.7%,0.6%,0.3%,0.1%,,"103,437",82.6%,10.6%,0.9%,1.7%,0.0%,6.2%,,"103,437",20.1%,7.6%,5.7%,3.2%,3.6%,79.9%,67.1%,9.4%,0.2%,1.4%,0.0%,0.1%,1.7%,0.1%,1.7%,"55,791",,"79,617",47.8%,52.2%
"Hillsborough County, Florida",,"1,422,278",48.9%,51.1%,95.6,6.2%,6.2%,6.3%,6.3%,6.5%,15.3%,13.7%,13.6%,6.3%,5.7%,8.3%,4.0%,1.6%,37.2,22.5%,80.0%,77.5%,73.6%,17.2%,13.9%,"1,102,618",48.2%,51.8%,93.0,"198,181",44.2%,55.8%,79.1,,"1,422,278",96.3%,3.7%,96.3%,70.5%,16.8%,0.3%,0.1%,0.0%,0.0%,0.0%,4.1%,1.7%,0.6%,0.5%,0.0%,0.2%,0.5%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%,4.6%,3.7%,1.5%,0.4%,0.6%,0.1%,,"1,422,278",73.6%,18.9%,0.9%,5.1%,0.2%,5.3%,,"1,422,278",28.7%,5.5%,8.3%,6.9%,7.9%,71.3%,48.8%,15.6%,0.2%,4.0%,0.1%,0.3%,2.4%,0.2%,2.2%,"580,511",,"989,694",47.7%,52.3%
"Holmes County, Florida",,"19,432",54.3%,45.7%,118.7,4.7%,5.4%,5.9%,5.5%,5.9%,13.1%,11.8%,13.8%,7.2%,6.6%,11.1%,6.9%,1.8%,42.7,19.5%,82.7%,80.5%,77.3%,23.5%,19.8%,"15,638",54.2%,45.8%,118.3,"3,850",45.5%,54.5%,83.3,,"19,432",98.4%,1.6%,98.4%,88.7%,7.0%,1.4%,0.5%,0.0%,0.0%,0.0%,0.7%,0.0%,0.0%,0.1%,0.0%,0.0%,0.5%,0.1%,0.3%,0.2%,0.0%,0.0%,0.1%,0.3%,1.6%,0.3%,0.7%,0.2%,0.0%,,"19,432",90.2%,7.4%,2.1%,1.1%,0.3%,0.7%,,"19,432",2.8%,1.3%,0.6%,0.1%,0.8%,97.2%,86.7%,6.9%,1.4%,0.6%,0.3%,0.0%,1.4%,0.1%,1.2%,"8,711",,"15,365",53.7%,46.3%
"Indian River County, Florida",,"153,989",48.0%,52.0%,92.4,4.2%,4.7%,4.4%,5.0%,4.7%,8.7%,9.1%,11.5%,7.1%,8.3%,16.9%,10.6%,4.8%,53.5,16.4%,85.5%,83.6%,80.9%,37.1%,32.3%,"128,694",47.3%,52.7%,89.8,"49,685",45.8%,54.2%,84.6,,"153,989",97.9%,2.1%,97.9%,86.4%,8.9%,0.3%,0.0%,0.0%,0.0%,0.0%,1.3%,0.2%,0.3%,0.3%,0.1%,0.0%,0.1%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,1.0%,2.1%,0.9%,0.5%,0.5%,0.0%,,"153,989",88.4%,9.8%,0.7%,1.9%,0.1%,1.1%,,"153,989",12.4%,5.6%,1.7%,1.5%,3.6%,87.6%,75.3%,8.8%,0.1%,1.3%,0.0%,0.1%,1.9%,0.0%,1.9%,"80,098",,"121,654",47.0%,53.0%
"Jackson County, Florida",,"47,945",54.9%,45.1%,121.7,5.0%,4.8%,5.4%,5.7%,6.0%,13.5%,13.6%,13.3%,7.3%,6.2%,10.9%,6.3%,2.1%,41.7,18.6%,83.7%,81.4%,78.1%,23.1%,19.3%,"39,005",55.6%,44.4%,125.2,"9,234",44.5%,55.5%,80.1,,"47,945",97.8%,2.2%,97.8%,68.9%,26.8%,0.7%,0.2%,0.0%,0.0%,0.0%,0.3%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.1%,0.9%,2.2%,0.6%,0.5%,0.1%,0.1%,,"47,945",70.5%,27.8%,1.3%,1.1%,0.7%,1.1%,,"47,945",4.9%,1.7%,1.3%,0.6%,1.2%,95.1%,65.3%,26.5%,0.7%,0.3%,0.2%,0.2%,2.0%,0.0%,2.0%,"21,102",,"38,116",55.3%,44.7%
"Jefferson County, Florida",,"14,161",52.5%,47.5%,110.4,4.3%,4.9%,4.6%,3.9%,4.7%,11.5%,12.9%,14.2%,7.1%,8.9%,14.1%,6.2%,2.6%,48.0,16.3%,84.8%,83.7%,80.8%,29.0%,22.9%,"11,854",53.3%,46.7%,114.2,"3,249",46.7%,53.3%,87.6,,"14,161",98.8%,1.2%,98.8%,62.8%,34.6%,0.5%,0.2%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.6%,1.2%,0.6%,0.3%,0.3%,0.0%,,"14,161",64.0%,35.2%,0.8%,0.6%,0.1%,0.6%,,"14,161",4.1%,1.0%,1.5%,0.9%,0.7%,95.9%,59.6%,34.4%,0.5%,0.3%,0.0%,0.0%,1.1%,0.0%,1.1%,"6,752",,"11,483",52.5%,47.5%
"Lafayette County, Florida",,"8,637",59.3%,40.7%,145.9,5.3%,8.0%,3.7%,7.1%,7.2%,15.5%,14.1%,13.7%,6.3%,5.4%,7.7%,5.1%,0.9%,37.3,22.0%,81.3%,78.0%,75.0%,16.6%,13.8%,"6,738",62.0%,38.0%,163.1,"1,188",44.8%,55.2%,81.1,,"8,637",96.9%,3.1%,96.9%,80.2%,16.1%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.1%,0.3%,0.1%,3.1%,1.3%,0.3%,0.4%,0.0%,,"8,637",83.3%,17.4%,0.7%,0.4%,0.3%,1.2%,,"8,637",15.7%,5.7%,1.7%,6.6%,1.8%,84.3%,66.2%,15.9%,0.2%,0.0%,0.3%,0.0%,1.7%,0.0%,1.7%,"3,193",,"6,395",62.7%,37.3%
"Lake County, Florida",,"345,867",48.5%,51.5%,94.1,4.9%,5.0%,6.0%,5.3%,4.8%,10.8%,10.8%,12.3%,6.4%,7.1%,14.4%,9.2%,2.9%,46.9,19.3%,82.8%,80.7%,77.7%,30.9%,26.5%,"278,957",47.8%,52.2%,91.4,"91,815",46.1%,53.9%,85.4,,"345,867",97.8%,2.2%,97.8%,82.5%,10.9%,0.4%,0.0%,0.1%,0.0%,0.0%,2.0%,0.8%,0.3%,0.5%,0.0%,0.1%,0.2%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9%,2.2%,0.9%,0.3%,0.4%,0.0%,,"345,867",84.4%,12.0%,0.8%,2.7%,0.1%,2.3%,,"345,867",15.6%,3.6%,6.2%,1.3%,4.6%,84.4%,69.7%,10.2%,0.4%,2.0%,0.0%,0.5%,1.7%,0.1%,1.5%,"157,039",,"266,828",47.5%,52.5%
"Lee County, Florida",,"737,468",49.0%,51.0%,96.0,4.7%,4.8%,5.3%,5.1%,4.9%,10.9%,10.3%,11.9%,6.8%,7.3%,15.5%,9.3%,3.3%,48.5,17.8%,84.2%,82.2%,79.1%,32.5%,28.1%,"605,916",48.5%,51.5%,94.1,"207,169",47.7%,52.3%,91.2,,"737,468",98.2%,1.8%,98.2%,84.4%,8.6%,0.2%,0.0%,0.0%,0.0%,0.0%,1.6%,0.3%,0.3%,0.4%,0.0%,0.1%,0.1%,0.3%,0.1%,0.0%,0.0%,0.0%,0.0%,3.4%,1.8%,0.5%,0.3%,0.3%,0.0%,,"737,468",85.9%,9.4%,0.7%,2.1%,0.2%,3.7%,,"737,468",21.4%,6.0%,4.3%,4.9%,6.2%,78.6%,67.2%,8.1%,0.2%,1.6%,0.0%,0.3%,1.2%,0.1%,1.1%,"394,047",,"548,242",48.1%,51.9%
"Leon County, Florida",,"289,770",47.4%,52.6%,90.3,5.2%,5.1%,5.2%,9.0%,16.1%,14.5%,10.8%,10.4%,5.6%,5.3%,8.1%,3.4%,1.4%,31.0,18.7%,83.5%,81.3%,71.1%,16.0%,12.9%,"235,555",46.6%,53.4%,87.3,"37,380",43.7%,56.3%,77.8,,"289,770",97.2%,2.8%,97.2%,61.4%,30.9%,0.2%,0.0%,0.0%,0.0%,0.0%,3.5%,1.1%,1.0%,0.3%,0.1%,0.3%,0.2%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,1.1%,2.8%,1.2%,0.4%,0.5%,0.1%,,"289,770",63.9%,32.5%,0.8%,4.3%,0.2%,1.4%,,"289,770",6.4%,1.2%,1.4%,1.2%,2.7%,93.6%,56.5%,30.6%,0.2%,3.5%,0.0%,0.3%,2.6%,0.2%,2.4%,"130,005",,"226,572",46.4%,53.6%
"Levy County, Florida",,"40,403",48.8%,51.2%,95.3,5.0%,6.3%,4.9%,5.4%,5.0%,10.7%,10.1%,12.4%,7.7%,8.2%,14.4%,7.1%,2.6%,46.9,19.7%,82.2%,80.3%,76.9%,29.2%,24.1%,"32,456",48.2%,51.8%,93.0,"9,734",48.6%,51.4%,94.7,,"40,403",97.5%,2.5%,97.5%,87.6%,8.8%,0.2%,0.1%,0.0%,0.0%,0.0%,0.9%,0.1%,0.2%,0.3%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,2.5%,0.9%,1.1%,0.0%,0.0%,,"40,403",90.0%,9.7%,1.4%,0.9%,0.2%,0.2%,,"40,403",8.4%,3.2%,3.0%,0.7%,1.5%,91.6%,79.8%,8.7%,0.1%,0.9%,0.0%,0.0%,2.2%,0.0%,2.2%,"20,601",,"31,614",48.1%,51.9%
"Liberty County, Florida",,"8,345",59.6%,40.4%,147.5,3.8%,4.7%,4.5%,7.0%,8.6%,13.8%,13.5%,15.0%,7.6%,6.2%,9.3%,4.6%,1.4%,40.7,16.5%,86.2%,83.5%,77.6%,18.7%,15.3%,"6,969",61.0%,39.0%,156.3,"1,280",50.2%,49.8%,100.6,,"8,345",98.4%,1.6%,98.4%,80.1%,15.8%,1.2%,0.0%,0.0%,0.0%,0.0%,0.2%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.1%,1.6%,0.7%,0.6%,0.3%,0.0%,,"8,345",81.7%,16.5%,1.8%,0.5%,0.0%,1.1%,,"8,345",4.7%,1.9%,0.6%,0.8%,1.4%,95.3%,76.2%,15.6%,1.2%,0.2%,0.0%,0.4%,1.6%,0.0%,1.6%,"3,621",,"6,790",60.0%,40.0%
"Madison County, Florida",,"18,460",53.4%,46.6%,114.8,4.9%,5.2%,5.4%,6.2%,4.6%,14.3%,11.9%,13.3%,7.6%,6.4%,12.2%,6.0%,1.9%,43.5,18.8%,83.3%,81.2%,77.8%,24.1%,20.1%,"14,998",53.2%,46.8%,113.9,"3,716",46.8%,53.2%,88.0,,"18,460",99.4%,0.6%,99.4%,58.0%,38.6%,0.3%,0.3%,0.0%,0.0%,0.0%,0.9%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,1.5%,0.6%,0.3%,0.1%,0.0%,0.1%,,"18,460",58.5%,39.0%,0.5%,0.9%,0.0%,1.7%,,"18,460",5.5%,1.2%,0.9%,0.7%,2.7%,94.5%,54.4%,38.2%,0.3%,0.9%,0.0%,0.2%,0.4%,0.0%,0.4%,"8,639",,"14,604",52.5%,47.5%
"Manatee County, Florida",,"384,213",48.4%,51.6%,93.7,4.8%,5.2%,5.3%,5.2%,4.8%,10.5%,10.3%,12.3%,7.2%,7.4%,14.7%,8.9%,3.4%,48.3,18.6%,83.6%,81.4%,78.5%,31.6%,27.0%,"312,878",47.8%,52.2%,91.5,"103,677",46.4%,53.6%,86.6,,"384,213",98.1%,1.9%,98.1%,85.4%,8.7%,0.2%,0.0%,0.0%,0.0%,0.0%,2.1%,0.5%,0.4%,0.3%,0.1%,0.1%,0.5%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,1.7%,1.9%,0.9%,0.3%,0.3%,0.0%,,"384,213",87.1%,9.7%,0.6%,2.6%,0.1%,1.9%,,"384,213",16.4%,8.0%,2.6%,1.4%,4.4%,83.6%,71.2%,8.5%,0.2%,2.0%,0.0%,0.1%,1.5%,0.1%,1.4%,"191,000",,"288,547",47.6%,52.4%
"Marion County, Florida",,"353,526",48.0%,52.0%,92.3,5.0%,4.9%,5.6%,5.0%,5.0%,10.7%,9.8%,11.6%,7.1%,6.7%,15.6%,9.8%,3.2%,48.7,18.7%,83.6%,81.3%,78.5%,32.7%,28.6%,"287,543",47.3%,52.7%,89.7,"101,238",46.3%,53.7%,86.3,,"353,526",97.7%,2.3%,97.7%,81.9%,12.9%,0.3%,0.1%,0.0%,0.0%,0.0%,1.4%,0.5%,0.2%,0.3%,0.1%,0.1%,0.1%,0.2%,0.1%,0.0%,0.0%,0.0%,0.0%,1.1%,2.3%,0.8%,0.5%,0.4%,0.1%,,"353,526",83.9%,14.0%,0.9%,2.1%,0.1%,1.4%,,"353,526",13.2%,3.0%,6.0%,1.1%,3.1%,86.8%,70.3%,12.5%,0.3%,1.4%,0.0%,0.2%,2.0%,0.2%,1.8%,"168,985",,"278,528",47.0%,53.0%
