"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income","Mean income","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","3,958","1.9%","1.5%","10.3%","11.5%","16.5%","20.2%","15.1%","15.1%","4.4%","3.4%","60,061","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,158","25.3%","12.8%","29.7%","8.5%","9.4%","8.4%","2.6%","2.7%","0.3%","0.3%","18,123","26,919","","(X)","(X)","33.3%"
"Bibb County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,891","8.3%","8.0%","13.0%","8.9%","14.8%","16.0%","16.2%","10.4%","2.1%","2.2%","47,542","60,182","","43.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,789","5.4%","4.7%","9.2%","8.2%","15.7%","18.4%","20.2%","12.8%","2.4%","3.1%","57,891","69,316","","(X)","46.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,493","1.7%","1.1%","5.5%","5.2%","13.4%","21.3%","27.5%","16.8%","3.3%","4.2%","76,385","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,102","17.5%","15.6%","21.1%","11.1%","11.1%","9.9%","8.6%","3.4%","1.4%","0.3%","23,211","38,032","","(X)","(X)","36.8%"
"Blount County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","20,847","8.2%","5.5%","10.5%","12.5%","14.0%","19.4%","12.0%","11.0%","4.4%","2.5%","49,358","65,639","","36.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","14,874","3.8%","3.4%","6.7%","9.6%","15.5%","22.5%","15.7%","14.1%","5.6%","3.2%","62,295","76,547","","(X)","36.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","11,909","2.7%","2.6%","5.3%","9.6%","14.8%","22.8%","16.0%","15.7%","6.7%","3.9%","66,878","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,973","19.6%","11.2%","20.8%","18.9%","11.0%","11.3%","2.3%","2.9%","1.5%","0.7%","24,030","37,103","","(X)","(X)","34.5%"
"Bullock County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,521","15.5%","9.7%","10.6%","13.2%","11.3%","19.8%","7.0%","10.3%","0.8%","1.8%","37,785","48,571","","54.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,504","11.7%","7.1%","8.7%","9.9%","19.9%","18.3%","8.5%","12.7%","0.4%","2.6%","43,333","54,751","","(X)","51.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,322","7.2%","5.7%","3.6%","3.9%","17.6%","25.3%","10.8%","21.3%","0.6%","3.9%","54,688","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,017","24.9%","15.8%","15.2%","21.6%","8.8%","4.6%","3.2%","4.2%","1.6%","0.0%","20,839","29,079","","(X)","(X)","41.6%"
"Butler County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,506","9.5%","8.1%","13.3%","11.7%","16.9%","14.7%","12.6%","9.6%","1.3%","2.2%","40,688","55,971","","43.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,331","4.2%","4.9%","12.0%","10.0%","18.5%","16.8%","15.7%","13.1%","2.0%","2.8%","50,503","65,297","","(X)","42.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,107","2.2%","3.1%","8.1%","9.5%","15.2%","18.3%","20.0%","16.9%","2.7%","3.9%","64,138","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,175","20.0%","14.7%","17.5%","15.7%","15.8%","8.7%","4.1%","2.5%","0.0%","1.0%","23,383","35,353","","(X)","(X)","44.7%"
"Calhoun County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","44,605","8.0%","6.6%","12.2%","11.5%","13.6%","18.8%","11.6%","11.8%","3.6%","2.2%","47,255","63,417","","37.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","29,960","4.4%","3.8%","9.7%","10.4%","13.2%","20.8%","14.2%","15.7%","4.7%","3.1%","59,147","75,584","","(X)","37.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","21,028","1.9%","1.2%","4.8%","7.7%","12.6%","23.2%","17.7%","20.3%","6.5%","4.0%","72,928","89,629","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","14,645","16.6%","13.6%","18.9%","13.6%","14.2%","13.9%","5.2%","3.0%","0.6%","0.4%","25,459","35,092","","(X)","(X)","35.6%"
"Chambers County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","13,448","7.5%","6.6%","15.9%","13.2%","13.0%","18.2%","13.9%","8.8%","1.8%","1.1%","42,289","53,505","","46.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","8,553","4.0%","3.1%","11.7%","13.8%","12.6%","21.8%","17.3%","12.3%","2.2%","1.1%","53,567","61,886","","(X)","47.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,551","1.5%","1.9%","6.3%","11.4%","12.4%","26.0%","21.2%","14.8%","2.7%","1.7%","63,870","71,324","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,895","15.7%","13.1%","23.7%","13.6%","13.0%","9.1%","7.4%","2.8%","0.9%","0.8%","23,730","35,329","","(X)","(X)","42.8%"
"Cherokee County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,737","6.9%","6.8%","16.8%","10.4%","14.4%","19.3%","11.6%","8.4%","3.0%","2.4%","41,919","57,617","","40.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,307","3.7%","4.3%","10.5%","10.5%","14.6%","22.3%","16.8%","11.0%","4.0%","2.3%","55,542","66,438","","(X)","42.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,024","1.3%","4.2%","7.3%","10.7%","15.1%","23.2%","18.7%","12.7%","4.1%","2.7%","60,969","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,430","15.5%","12.0%","31.1%","10.1%","12.2%","11.9%","1.5%","2.4%","0.6%","2.6%","20,063","37,662","","(X)","(X)","35.9%"
"Chilton County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","16,927","8.4%","6.8%","12.6%","12.1%","11.8%","19.8%","12.7%","10.3%","3.0%","2.5%","47,468","62,784","","40.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","11,908","5.0%","4.3%","9.5%","11.0%","13.3%","23.7%","13.8%","12.4%","3.8%","3.1%","54,928","68,995","","(X)","41.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,528","1.7%","2.1%","7.3%","9.0%","11.7%","27.6%","16.0%","16.0%","4.3%","4.4%","64,520","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,019","17.7%","13.1%","20.7%","14.9%","12.2%","9.7%","4.9%","5.0%","0.9%","0.9%","24,442","44,443","","(X)","(X)","36.7%"
"Choctaw County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,300","11.2%","9.4%","15.0%","13.2%","13.9%","11.6%","10.2%","10.3%","4.2%","0.9%","35,892","52,395","","30.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,440","8.0%","6.2%","11.9%","11.6%","14.3%","14.8%","12.7%","14.4%","4.8%","1.3%","46,759","62,462","","(X)","33.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,294","2.0%","2.3%","6.8%","12.2%","14.2%","17.8%","17.3%","19.3%","6.0%","2.0%","67,368","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,860","18.2%","15.3%","21.2%","15.5%","13.3%","7.5%","4.7%","2.0%","2.3%","0.1%","21,461","32,030","","(X)","(X)","24.0%"
"Clarke County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,090","18.8%","6.6%","11.3%","10.5%","14.2%","13.8%","8.1%","9.8%","4.7%","2.1%","37,404","54,687","","43.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,662","9.9%","3.4%","9.1%","10.1%","16.3%","17.1%","10.6%","14.7%","5.5%","3.2%","52,956","70,011","","(X)","47.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,154","6.3%","2.2%","7.9%","8.5%","12.9%","19.7%","12.8%","18.3%","7.1%","4.3%","67,128","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,428","34.3%","12.9%","14.2%","11.3%","10.7%","7.6%","4.0%","1.7%","3.2%","0.1%","17,091","28,526","","(X)","(X)","37.0%"
"Clay County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,198","7.8%","7.3%","12.4%","15.9%","15.6%","16.6%","9.1%","12.3%","0.5%","2.5%","40,845","57,585","","34.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,704","5.1%","5.0%","7.9%","15.9%","16.0%","18.8%","11.0%","16.7%","0.5%","3.1%","49,976","67,026","","(X)","34.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,703","0.2%","3.1%","6.0%","11.6%","18.3%","20.5%","13.8%","21.8%","0.6%","4.2%","61,198","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,494","17.3%","14.1%","19.8%","16.2%","13.5%","11.2%","4.4%","1.5%","0.7%","1.3%","23,846","33,589","","(X)","(X)","34.5%"
"Cleburne County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,680","9.3%","5.0%","16.5%","10.6%","14.7%","18.7%","10.3%","9.7%","3.9%","1.4%","44,741","57,990","","32.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,806","2.7%","1.7%","10.1%","11.7%","16.5%","22.4%","14.1%","13.7%","5.2%","2.0%","57,342","72,114","","(X)","30.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,151","0.6%","1.0%","7.0%","11.4%","15.1%","24.0%","16.3%","16.2%","6.0%","2.4%","61,757","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,874","23.6%","11.0%","29.5%","10.6%","11.5%","9.5%","2.1%","1.8%","0.3%","0.1%","18,930","27,040","","(X)","(X)","33.7%"
"Coffee County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","19,924","7.1%","5.3%","9.1%","11.0%","13.5%","18.1%","12.4%","15.7%","4.8%","3.1%","55,637","70,079","","38.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","13,747","5.0%","2.9%","5.9%","9.7%","12.3%","19.9%","14.1%","20.0%","6.0%","4.3%","67,551","80,823","","(X)","38.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","10,155","1.3%","1.0%","2.3%","7.6%","11.1%","20.3%","17.6%","25.4%","7.9%","5.6%","83,936","95,458","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,177","13.4%","10.9%","17.2%","14.0%","14.2%","14.3%","8.7%","4.9%","2.1%","0.3%","31,193","43,951","","(X)","(X)","36.4%"
"Colbert County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","21,880","8.7%","6.0%","13.4%","10.9%","12.8%","20.1%","12.1%","11.4%","2.8%","1.8%","48,065","60,904","","36.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","14,797","5.4%","2.8%","9.2%","9.3%","13.2%","22.6%","16.1%","15.1%","3.8%","2.4%","60,740","72,310","","(X)","35.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","11,072","2.6%","1.1%","7.2%","7.8%","11.9%","25.1%","18.1%","18.2%","4.9%","3.0%","68,770","82,040","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","7,083","16.7%","12.7%","22.4%","14.2%","12.4%","13.5%","4.1%","2.5%","0.8%","0.6%","24,024","35,287","","(X)","(X)","36.6%"
"Conecuh County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,553","10.8%","10.4%","10.6%","15.2%","16.1%","18.0%","10.0%","6.6%","1.1%","1.2%","37,837","47,286","","40.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,997","5.2%","6.5%","5.7%","15.6%","20.3%","22.4%","12.6%","8.7%","1.6%","1.3%","47,941","56,192","","(X)","41.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,937","3.7%","0.7%","4.0%","10.7%","20.2%","26.5%","16.7%","13.2%","2.5%","1.9%","57,746","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,556","21.9%","17.9%","20.1%","15.2%","7.6%","12.9%","1.3%","2.3%","0.0%","1.0%","20,116","28,618","","(X)","(X)","39.7%"
"Coosa County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,032","5.2%","8.7%","15.1%","15.0%","17.3%","14.7%","11.6%","6.5%","4.3%","1.6%","38,990","56,017","","38.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,657","2.2%","2.4%","10.0%","15.1%","21.3%","17.6%","13.2%","9.2%","6.5%","2.4%","48,681","68,864","","(X)","43.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,112","1.3%","1.3%","8.4%","13.5%","22.0%","17.0%","16.2%","11.1%","6.3%","2.9%","55,240","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,375","10.8%","20.9%","25.0%","15.6%","10.5%","7.9%","8.9%","0.4%","0.0%","0.0%","19,583","30,010","","(X)","(X)","27.0%"
"Covington County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","14,852","9.8%","7.1%","13.6%","12.6%","13.4%","16.7%","12.2%","9.3%","3.5%","1.8%","42,189","57,075","","38.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","9,924","6.7%","2.9%","8.9%","12.7%","15.2%","18.5%","15.1%","12.5%","5.1%","2.4%","54,031","68,175","","(X)","38.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,242","1.8%","1.6%","5.6%","10.7%","15.2%","20.8%","18.4%","16.0%","6.8%","3.1%","67,584","80,490","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,928","17.5%","15.4%","24.0%","13.5%","10.5%","12.0%","5.0%","1.5%","0.2%","0.4%","21,849","31,997","","(X)","(X)","37.7%"
"Crenshaw County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,943","8.6%","9.1%","14.7%","9.2%","14.9%","16.8%","11.3%","11.1%","2.2%","2.0%","43,163","61,468","","40.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,384","3.6%","2.4%","12.6%","8.3%","16.3%","21.3%","14.5%","15.8%","2.9%","2.4%","57,778","75,647","","(X)","41.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,362","1.7%","1.3%","8.3%","5.7%","14.2%","25.7%","17.0%","20.3%","3.0%","3.0%","64,975","87,578","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,559","20.3%","24.2%","19.3%","13.0%","10.6%","6.9%","3.4%","0.4%","0.6%","1.3%","16,651","29,313","","(X)","(X)","38.0%"
"Cullman County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","31,034","7.7%","5.4%","13.1%","11.7%","16.7%","17.9%","12.3%","9.4%","3.6%","2.2%","44,918","59,909","","38.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","21,574","5.0%","2.9%","8.0%","10.5%","16.9%","21.0%","15.3%","12.6%","4.8%","2.9%","56,490","70,017","","(X)","39.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","16,768","2.0%","2.1%","5.9%","8.7%","16.8%","22.3%","18.3%","14.6%","5.8%","3.4%","64,417","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","9,460","15.7%","10.9%","26.0%","14.2%","15.7%","9.8%","5.1%","1.5%","0.8%","0.3%","23,882","34,185","","(X)","(X)","34.6%"
"Dale County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","18,806","8.4%","5.6%","13.6%","10.5%","14.7%","19.0%","11.8%","10.4%","3.5%","2.4%","47,214","61,001","","39.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","12,515","5.2%","3.0%","10.0%","9.9%","14.6%","21.5%","14.4%","13.3%","4.8%","3.4%","57,404","72,121","","(X)","41.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,958","1.1%","0.7%","6.7%","8.2%","12.6%","24.3%","18.4%","17.0%","6.2%","4.7%","71,198","86,226","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,291","15.2%","11.7%","22.2%","11.4%","14.4%","14.4%","5.3%","4.3%","1.0%","0.1%","25,822","36,328","","(X)","(X)","34.5%"
"Dallas County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","15,910","15.4%","7.9%","15.5%","12.7%","13.2%","13.6%","10.0%","8.4%","2.2%","1.1%","33,845","47,753","","33.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","10,328","10.2%","5.1%","13.1%","12.3%","13.3%","17.7%","12.8%","11.8%","2.4%","1.3%","45,333","56,716","","(X)","37.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,603","3.7%","1.8%","5.0%","8.0%","13.0%","23.8%","20.0%","18.7%","3.8%","2.3%","67,231","76,366","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,582","26.1%","13.2%","20.7%","12.7%","13.8%","5.9%","5.2%","1.1%","0.5%","0.7%","20,316","28,991","","(X)","(X)","24.6%"
"DeKalb County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","26,040","9.0%","7.3%","14.7%","12.5%","15.4%","17.9%","9.3%","9.6%","2.3%","2.1%","40,440","56,390","","38.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","18,349","5.2%","2.7%","12.8%","13.0%","17.1%","20.6%","11.3%","11.5%","3.2%","2.5%","49,250","64,177","","(X)","38.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","14,109","2.6%","2.1%","9.7%","11.5%","17.8%","22.6%","12.4%","14.2%","4.0%","3.2%","55,630","72,486","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","7,691","19.4%","18.8%","20.8%","11.6%","11.5%","9.9%","3.4%","3.1%","0.1%","1.3%","19,502","34,796","","(X)","(X)","38.1%"
"Elmore County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","29,708","5.7%","3.7%","9.4%","9.8%","12.4%","19.3%","13.1%","16.9%","5.2%","4.5%","60,891","78,370","","33.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","21,530","3.5%","1.8%","5.7%","9.0%","10.8%","21.0%","14.8%","21.7%","6.3%","5.5%","72,545","89,437","","(X)","33.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","16,317","1.5%","0.8%","3.2%","6.0%","9.5%","21.1%","16.8%","26.2%","7.8%","7.1%","86,146","102,625","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","8,178","12.6%","8.4%","19.6%","12.9%","15.7%","15.8%","7.5%","4.2%","1.5%","1.7%","32,077","46,223","","(X)","(X)","32.2%"
"Escambia County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","13,089","13.9%","8.1%","13.1%","13.5%","15.4%","15.6%","8.9%","6.9%","3.0%","1.6%","36,275","50,242","","39.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","8,019","7.5%","4.7%","8.7%","14.2%","16.2%","19.2%","12.9%","10.1%","4.2%","2.3%","48,964","63,008","","(X)","39.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,757","1.5%","1.8%","6.8%","14.6%","15.4%","22.0%","15.9%","13.3%","5.8%","2.9%","60,869","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,070","24.4%","13.7%","20.7%","12.3%","14.5%","9.1%","2.6%","1.1%","1.0%","0.5%","20,962","28,928","","(X)","(X)","38.7%"
"Etowah County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","38,942","7.7%","6.0%","15.0%","12.2%","14.3%","17.2%","12.0%","10.7%","2.7%","2.4%","44,637","60,379","","39.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","25,852","4.8%","4.0%","10.3%","10.8%","13.0%","20.0%","15.9%","14.3%","3.6%","3.2%","57,404","71,222","","(X)","40.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","18,462","1.5%","1.6%","5.9%","8.5%","13.0%","23.4%","19.2%","18.1%","4.6%","4.2%","69,947","83,556","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","13,090","14.7%","10.8%","24.5%","15.1%","15.5%","10.9%","4.4%","2.8%","0.7%","0.5%","24,984","36,513","","(X)","(X)","36.9%"
"Fayette County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,802","9.4%","9.9%","12.3%","13.0%","14.3%","19.1%","11.1%","6.8%","2.6%","1.5%","39,856","53,897","","36.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,774","5.0%","5.2%","10.0%","13.8%","14.6%","22.2%","14.5%","9.3%","3.5%","1.9%","51,379","62,879","","(X)","35.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,734","3.0%","4.3%","7.2%","11.9%","12.3%","25.8%","17.7%","11.1%","4.4%","2.2%","59,743","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
