"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income (dollars)","Mean income (dollars)","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","3,423","1.3%","1.5%","8.0%","10.4%","13.6%","25.9%","11.0%","16.4%","4.3%","7.6%","66,670","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,228","19.3%","11.6%","29.7%","11.9%","11.3%","10.4%","2.0%","2.4%","0.4%","1.0%","20,704","31,775","","(X)","(X)","43.3%"
"Bibb County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,083","7.5%","7.8%","11.6%","10.2%","10.7%","17.5%","16.8%","10.9%","3.7%","3.3%","54,277","67,396","","36.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,018","6.1%","2.9%","7.9%","8.2%","11.2%","20.8%","19.7%","13.9%","5.0%","4.4%","67,979","77,484","","(X)","37.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,741","1.7%","0.3%","5.2%","9.2%","9.3%","20.0%","24.6%","17.9%","6.3%","5.5%","80,417","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,065","13.7%","21.0%","20.4%","15.5%","7.1%","8.5%","9.2%","3.6%","0.5%","0.6%","22,535","40,882","","(X)","(X)","33.1%"
"Blount County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","21,300","8.4%","4.2%","9.5%","11.0%","13.0%","18.5%","11.7%","14.1%","5.8%","3.7%","52,830","71,849","","40.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","15,213","3.2%","2.2%","5.3%","10.2%","12.0%","22.7%","14.5%","18.0%","7.0%","4.8%","68,945","83,018","","(X)","39.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","12,061","2.1%","1.7%","3.8%","9.3%","11.8%","21.7%","15.5%","20.0%","8.4%","5.7%","74,430","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,087","21.6%","9.7%","20.7%","13.6%","16.3%","9.3%","3.0%","3.1%","1.7%","1.0%","23,818","39,761","","(X)","(X)","40.4%"
"Bullock County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,419","15.2%","10.9%","18.6%","11.8%","10.2%","13.8%","7.3%","9.3%","1.4%","1.5%","29,063","46,257","","57.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,077","12.1%","2.6%","17.2%","8.8%","10.5%","18.9%","11.6%","14.1%","1.8%","2.4%","46,563","60,682","","(X)","64.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,037","13.0%","0.0%","9.5%","5.4%","5.0%","26.7%","16.3%","17.4%","3.1%","3.7%","62,762","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,342","20.0%","23.7%","21.0%","16.2%","9.8%","5.8%","0.7%","1.9%","0.8%","0.0%","16,055","23,895","","(X)","(X)","47.0%"
"Butler County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,531","6.3%","8.0%","13.2%","12.3%","15.1%","15.7%","10.3%","12.4%","4.1%","2.6%","45,236","63,862","","42.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,317","3.8%","4.7%","8.9%","9.5%","13.1%","19.6%","13.7%","17.1%","6.2%","3.3%","62,762","76,899","","(X)","46.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,105","1.1%","2.7%","6.5%","6.6%","13.1%","19.5%","17.1%","22.1%","7.6%","3.8%","76,375","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,214","12.4%","14.6%","21.7%","18.3%","17.8%","9.1%","2.5%","2.2%","0.0%","1.3%","25,511","36,653","","(X)","(X)","33.4%"
"Calhoun County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","44,295","8.2%","6.6%","10.7%","12.0%","11.5%","19.4%","12.2%","12.5%","3.9%","2.9%","50,977","65,287","","36.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","27,960","4.5%","2.9%","8.4%","11.0%","11.5%","20.3%","15.4%","16.2%","5.9%","4.0%","63,358","79,082","","(X)","37.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","19,526","1.9%","1.6%","4.1%","8.4%","10.9%","21.2%","17.9%","20.9%","7.4%","5.5%","77,265","93,118","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","16,335","15.5%","13.2%","17.4%","13.0%","11.7%","17.0%","5.6%","5.4%","0.6%","0.6%","27,968","38,451","","(X)","(X)","33.5%"
"Chambers County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","13,123","4.6%","6.6%","13.1%","14.9%","12.3%","18.4%","13.1%","12.4%","2.0%","2.5%","47,232","59,993","","50.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","9,091","1.9%","3.7%","9.1%","16.5%","13.5%","20.4%","14.7%","15.5%","2.0%","2.8%","54,851","66,631","","(X)","52.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,793","0.3%","2.2%","5.5%","11.7%","12.0%","22.9%","17.1%","21.1%","3.1%","4.2%","67,902","78,771","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,032","12.3%","12.8%","24.0%","13.5%","10.8%","12.5%","6.4%","5.2%","1.4%","1.2%","25,646","39,110","","(X)","(X)","42.0%"
"Cherokee County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,692","6.9%","6.2%","13.4%","13.4%","14.3%","17.6%","10.9%","9.4%","4.2%","3.6%","43,475","63,492","","40.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,430","3.1%","3.6%","9.1%","10.9%","15.6%","19.5%","15.1%","13.7%","5.9%","3.5%","60,494","74,365","","(X)","44.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,235","0.9%","3.2%","7.0%","10.5%","15.8%","19.8%","15.8%","16.7%","6.1%","4.2%","64,681","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,262","14.6%","11.5%","22.5%","18.3%","11.7%","13.7%","2.1%","1.0%","0.6%","3.8%","25,471","41,257","","(X)","(X)","30.8%"
"Chilton County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","16,562","7.0%","4.1%","11.1%","11.7%","11.9%","21.4%","14.2%","11.1%","4.7%","2.8%","56,243","68,497","","43.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","11,814","4.7%","1.9%","8.9%","7.3%","12.3%","25.1%","16.9%","13.2%","6.1%","3.5%","63,189","77,871","","(X)","44.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,474","2.3%","0.8%","7.1%","6.1%","9.6%","25.6%","20.2%","16.1%","7.4%","4.9%","72,520","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,748","13.6%","9.9%","17.6%","23.0%","15.1%","11.5%","2.7%","4.9%","0.8%","0.9%","27,986","40,993","","(X)","(X)","38.9%"
"Choctaw County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,211","11.1%","8.4%","13.6%","12.0%","14.9%","9.2%","12.3%","10.7%","4.5%","3.2%","38,581","57,529","","36.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,256","7.6%","4.6%","8.1%","11.1%","13.8%","11.7%","17.8%","15.1%","7.2%","2.9%","59,762","71,386","","(X)","39.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,272","3.0%","2.1%","3.6%","8.4%","15.1%","12.1%","22.4%","20.9%","8.4%","4.2%","79,910","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,955","16.9%","14.8%","23.1%","13.1%","16.8%","6.4%","3.2%","2.1%","0.0%","3.6%","21,239","33,911","","(X)","(X)","31.6%"
"Clarke County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","8,250","13.1%","6.1%","10.6%","13.2%","10.6%","18.9%","10.2%","9.9%","4.4%","2.9%","44,108","64,589","","44.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,333","5.5%","3.8%","8.0%","12.3%","12.0%","20.4%","13.5%","14.6%","5.5%","4.5%","59,648","82,046","","(X)","49.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,522","2.4%","3.2%","6.0%","9.9%","9.1%","22.6%","15.7%","20.3%","6.9%","3.9%","71,786","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,917","27.5%","11.2%","15.1%","16.6%","7.4%","14.4%","3.9%","1.3%","2.5%","0.0%","21,915","31,598","","(X)","(X)","34.5%"
"Clay County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,399","9.9%","8.7%","8.9%","10.9%","16.0%","16.5%","9.1%","13.6%","3.4%","3.1%","45,163","65,502","","36.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,721","4.7%","5.2%","5.4%","10.7%","18.5%","17.9%","11.3%","17.8%","4.6%","3.9%","56,180","78,985","","(X)","34.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,927","1.4%","3.3%","3.5%","8.7%","17.4%","19.7%","13.6%","21.9%","5.7%","5.0%","67,527","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,678","22.5%","16.4%","16.2%","11.2%","9.9%","13.3%","4.1%","4.4%","0.5%","1.4%","18,947","35,382","","(X)","(X)","38.8%"
"Cleburne County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,598","9.1%","5.7%","9.8%","11.4%","16.7%","16.9%","13.2%","9.7%","4.7%","2.9%","48,333","67,904","","31.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,755","3.3%","0.2%","5.7%","12.3%","16.2%","20.2%","16.8%","14.7%","6.4%","4.3%","63,295","86,428","","(X)","33.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,896","0.6%","0.0%","2.6%","12.1%","15.5%","16.5%","20.3%","18.9%","8.0%","5.5%","77,955","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,843","22.5%","15.4%","18.0%","12.0%","16.5%","9.7%","5.4%","0.1%","0.4%","0.1%","21,331","28,381","","(X)","(X)","25.9%"
"Coffee County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","20,478","6.5%","5.0%","9.0%","7.7%","14.9%","17.6%","11.9%","16.6%","6.7%","4.1%","59,034","74,955","","33.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","13,812","4.4%","2.8%","8.1%","6.5%","13.6%","17.8%","12.6%","20.6%","7.7%","6.0%","70,885","85,815","","(X)","35.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","10,113","2.2%","1.2%","3.8%","4.3%","12.3%","17.7%","14.0%","26.0%","10.4%","8.1%","90,319","101,300","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,666","11.6%","9.9%","13.3%","10.5%","16.1%","16.0%","11.6%","6.9%","3.9%","0.2%","37,445","49,757","","(X)","(X)","28.3%"
"Colbert County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","22,640","7.7%","5.5%","10.9%","11.0%","13.0%","18.9%","13.7%","13.1%","4.2%","2.0%","52,017","65,278","","35.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","14,848","5.2%","2.7%","6.5%","9.3%","13.2%","21.0%","18.3%","16.1%","4.9%","2.9%","64,296","76,135","","(X)","33.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","10,833","1.4%","1.7%","3.5%","9.1%","9.9%","23.0%","20.3%","20.9%","6.4%","3.6%","75,859","87,657","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","7,792","13.9%","11.0%","19.6%","13.7%","13.8%","14.5%","6.4%","4.7%","2.1%","0.3%","28,726","41,218","","(X)","(X)","39.6%"
"Conecuh County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,187","5.6%","8.7%","11.3%","14.9%","21.3%","15.9%","8.9%","10.0%","1.2%","2.2%","37,986","53,737","","51.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,498","4.2%","2.3%","11.3%","7.7%","21.9%","22.2%","10.0%","15.0%","1.8%","3.6%","52,230","66,672","","(X)","52.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,635","1.0%","1.3%","5.4%","8.3%","12.9%","28.3%","12.7%","21.7%","2.8%","5.6%","68,142","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,689","7.8%","18.2%","16.9%","25.7%","14.7%","8.8%","5.0%","2.5%","0.2%","0.2%","28,821","33,087","","(X)","(X)","50.0%"
"Coosa County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,824","3.0%","5.8%","11.5%","10.4%","19.3%","18.0%","11.5%","13.7%","5.2%","1.7%","50,013","66,585","","40.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,591","2.6%","2.4%","5.4%","7.6%","21.2%","21.7%","13.0%","17.2%","6.4%","2.5%","58,052","78,475","","(X)","50.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,968","1.2%","1.4%","3.0%","4.5%","19.7%","20.8%","16.3%","22.1%","7.9%","3.3%","74,265","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,233","6.7%","12.9%","22.8%","16.2%","14.8%","10.7%","7.4%","5.8%","2.7%","0.0%","30,392","40,035","","(X)","(X)","20.0%"
"Covington County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","14,296","7.9%","8.8%","11.8%","11.4%","12.6%","17.9%","11.7%","11.1%","4.0%","2.9%","46,186","63,948","","35.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","9,356","5.3%","3.5%","7.3%","10.5%","13.0%","20.1%","15.5%","14.7%","5.9%","4.2%","62,652","76,696","","(X)","35.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,843","0.9%","1.5%","5.0%","8.2%","11.7%","21.8%","18.9%","18.4%","8.0%","5.6%","76,261","90,820","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,940","13.3%","18.3%","20.9%","14.5%","12.7%","12.7%","3.7%","3.1%","0.4%","0.4%","23,573","37,962","","(X)","(X)","35.5%"
"Crenshaw County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,653","11.1%","8.5%","11.6%","10.3%","15.4%","13.9%","12.4%","10.5%","3.4%","2.9%","43,103","67,086","","40.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,936","2.9%","1.9%","7.8%","11.5%","16.2%","18.2%","18.4%","15.5%","3.5%","4.0%","63,636","85,867","","(X)","45.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,138","0.9%","0.4%","5.5%","10.4%","13.8%","19.1%","22.0%","19.7%","3.7%","4.5%","74,868","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,717","25.5%","19.9%","18.2%","9.6%","13.3%","6.6%","1.2%","1.6%","3.2%","1.0%","16,398","33,972","","(X)","(X)","30.4%"
"Cullman County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","32,939","5.8%","5.5%","10.1%","10.9%","15.5%","19.5%","13.1%","11.5%","5.0%","3.1%","52,690","67,643","","40.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","22,795","2.7%","3.3%","5.6%","8.6%","15.1%","21.3%","16.8%","16.1%","6.4%","4.1%","66,258","80,299","","(X)","41.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","17,753","1.1%","1.9%","3.6%","7.6%","13.2%","21.7%","18.9%","19.1%","8.0%","4.8%","76,139","88,770","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","10,144","13.5%","11.2%","22.1%","16.0%","16.1%","14.7%","3.8%","1.2%","0.8%","0.6%","26,199","35,724","","(X)","(X)","35.3%"
"Dale County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","19,470","8.3%","6.3%","12.4%","9.8%","13.2%","18.1%","12.8%","12.7%","4.5%","1.9%","50,052","63,351","","40.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","12,543","7.2%","3.2%","8.2%","7.8%","12.7%","21.2%","14.4%","16.7%","6.3%","2.4%","62,594","73,163","","(X)","42.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,750","2.1%","0.8%","3.7%","6.9%","11.2%","23.4%","17.3%","22.4%","8.7%","3.5%","78,388","89,062","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,927","12.5%","12.7%","19.5%","13.8%","12.6%","12.6%","9.3%","5.3%","1.1%","0.7%","28,489","43,159","","(X)","(X)","34.1%"
"Dallas County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","14,385","13.3%","7.3%","16.4%","13.0%","11.8%","16.5%","9.0%","9.5%","2.3%","0.8%","34,957","49,350","","32.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","8,122","7.9%","2.6%","11.6%","11.3%","13.2%","21.3%","12.6%","14.3%","3.9%","1.2%","53,127","64,161","","(X)","40.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,605","3.3%","0.8%","3.8%","7.3%","9.1%","24.8%","20.3%","22.5%","6.4%","1.7%","76,089","84,164","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,263","21.6%","13.4%","22.5%","15.5%","9.9%","10.5%","4.5%","1.7%","0.2%","0.2%","19,542","28,780","","(X)","(X)","19.8%"
"DeKalb County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","25,601","6.5%","8.2%","13.7%","11.9%","14.6%","18.5%","10.7%","10.3%","2.9%","2.5%","44,037","62,388","","40.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","18,329","4.2%","3.5%","11.1%","12.1%","14.4%","20.9%","13.7%","13.3%","3.7%","3.2%","54,358","71,814","","(X)","41.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","14,412","1.8%","3.0%","8.5%","10.5%","15.6%","21.1%","15.6%","15.9%","4.3%","3.8%","65,072","79,994","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","7,272","13.3%","19.8%","21.9%","12.3%","15.2%","11.1%","3.3%","1.7%","0.5%","1.0%","22,421","36,129","","(X)","(X)","35.7%"
"Elmore County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","31,630","4.6%","3.0%","7.7%","8.9%","13.1%","18.6%","15.5%","17.4%","6.3%","5.0%","67,597","83,506","","34.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","23,240","2.8%","2.0%","4.3%","8.7%","10.4%","19.2%","17.1%","21.9%","7.6%","5.9%","78,881","93,360","","(X)","35.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","16,872","0.9%","0.8%","1.4%","5.6%","8.6%","19.6%","18.0%","28.0%","9.1%","7.9%","93,455","108,027","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","8,390","10.7%","7.0%","17.3%","9.8%","20.7%","17.2%","7.9%","5.7%","1.7%","1.9%","38,455","53,033","","(X)","(X)","31.0%"
"Escambia County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","12,878","12.6%","7.5%","12.1%","13.5%","15.7%","17.5%","8.6%","8.1%","2.9%","1.6%","38,464","51,084","","40.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,916","7.5%","4.7%","8.8%","13.1%","15.6%","19.7%","12.3%","11.9%","4.6%","1.8%","50,258","62,425","","(X)","42.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,446","2.5%","1.0%","7.4%","10.7%","15.6%","22.4%","15.8%","16.0%","6.2%","2.4%","61,946","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,962","21.6%","12.1%","17.7%","15.8%","13.7%","13.8%","3.1%","0.7%","0.3%","1.1%","23,997","31,231","","(X)","(X)","35.5%"
"Etowah County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","38,289","6.9%","6.9%","12.4%","11.4%","15.4%","17.2%","11.1%","12.5%","4.0%","2.2%","46,984","63,821","","42.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","24,686","4.1%","3.0%","8.4%","9.0%","14.4%","19.6%","15.2%","17.9%","5.4%","3.1%","63,456","77,461","","(X)","44.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","17,602","1.2%","1.3%","4.6%","6.0%","13.2%","22.5%","17.6%","22.5%","6.9%","4.1%","76,206","90,147","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","13,603","12.9%","14.2%","21.6%","15.7%","16.9%","11.2%","3.3%","2.8%","0.9%","0.6%","25,883","36,916","","(X)","(X)","40.0%"
"Fayette County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,204","9.6%","6.9%","14.1%","12.2%","10.8%","15.4%","15.6%","10.6%","2.2%","2.5%","43,960","59,916","","40.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,141","5.1%","4.0%","9.8%","10.8%","11.2%","18.0%","20.5%","15.2%","2.4%","3.0%","59,148","69,664","","(X)","39.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,305","3.2%","2.4%","8.0%","7.9%","10.1%","18.9%","24.7%","18.3%","3.0%","3.4%","72,813","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
