"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income","Mean income","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","3,613","1.7%","1.1%","11.2%","11.2%","11.8%","24.7%","12.9%","14.8%","5.3%","5.3%","64,492","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,239","23.6%","12.5%","29.5%","7.9%","9.7%","11.1%","1.6%","2.5%","0.1%","1.3%","18,073","30,876","","(X)","(X)","36.8%"
"Bibb County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,259","11.0%","7.1%","10.5%","9.1%","11.2%","19.4%","15.6%","11.2%","2.8%","2.2%","51,721","61,655","","35.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,276","9.0%","3.8%","7.0%","9.1%","10.4%","22.7%","18.7%","13.3%","3.3%","2.8%","62,212","69,170","","(X)","35.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,597","1.3%","0.4%","4.3%","7.2%","10.1%","22.6%","27.2%","18.3%","4.8%","3.8%","78,180","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,983","19.5%","16.2%","19.4%","9.5%","11.3%","10.0%","8.3%","3.7%","1.5%","0.5%","22,629","39,792","","(X)","(X)","34.7%"
"Blount County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","21,205","10.1%","4.6%","11.0%","11.2%","14.5%","17.9%","10.8%","12.4%","4.9%","2.7%","48,922","66,360","","38.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","15,035","4.3%","2.9%","8.1%","9.0%","15.2%","21.9%","13.7%","15.0%","6.4%","3.6%","62,576","77,271","","(X)","35.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","12,053","2.4%","2.0%","6.7%","9.1%","14.8%","21.1%","14.9%","17.0%","7.9%","4.1%","67,274","84,280","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,170","25.0%","9.1%","18.7%","15.9%","13.5%","9.4%","3.2%","3.7%","0.9%","0.7%","23,349","36,783","","(X)","(X)","40.5%"
"Bullock County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,429","18.2%","9.8%","11.9%","10.6%","8.0%","17.4%","7.5%","12.4%","1.3%","2.8%","33,866","50,664","","54.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,158","12.2%","3.6%","10.7%","8.1%","11.9%","18.4%","11.3%","18.5%","0.9%","4.4%","53,976","63,808","","(X)","55.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,187","10.8%","4.3%","4.7%","3.6%","4.8%","23.8%","16.2%","24.0%","1.5%","6.3%","67,813","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,271","28.5%","20.3%","14.0%","14.9%","10.1%","7.1%","1.1%","2.0%","2.0%","0.0%","15,554","26,357","","(X)","(X)","43.7%"
"Butler County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,649","7.9%","7.8%","12.8%","10.2%","16.6%","15.7%","9.4%","13.7%","3.3%","2.6%","44,850","62,399","","43.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,574","3.7%","4.9%","10.3%","7.2%","18.4%","17.8%","10.8%","18.7%","4.9%","3.4%","57,011","74,018","","(X)","43.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,297","1.7%","1.6%","7.7%","5.6%","16.1%","19.3%","13.3%","24.2%","5.8%","4.7%","70,170","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,075","19.0%","14.2%","17.7%","17.1%","14.2%","10.5%","4.3%","2.3%","0.0%","0.8%","24,142","34,978","","(X)","(X)","42.7%"
"Calhoun County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","44,572","8.0%","6.1%","10.9%","11.8%","13.2%","19.2%","12.2%","12.9%","3.3%","2.6%","50,128","65,276","","36.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","29,120","3.7%","2.8%","8.8%","11.1%","13.9%","20.7%","13.9%","16.7%","4.8%","3.6%","59,609","78,103","","(X)","37.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","20,680","1.9%","1.1%","4.4%","8.7%","12.7%","21.7%","16.8%","21.7%","6.4%","4.6%","74,041","91,093","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","15,452","16.4%","12.7%","17.4%","12.9%","12.0%","15.3%","7.9%","4.6%","0.6%","0.2%","27,220","37,925","","(X)","(X)","34.3%"
"Chambers County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","13,582","6.0%","6.5%","13.9%","15.5%","12.8%","18.2%","13.5%","10.3%","1.6%","1.6%","43,875","56,122","","49.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","9,121","2.2%","3.2%","9.9%","18.2%","12.4%","20.7%","16.1%","13.7%","2.0%","1.6%","52,477","63,712","","(X)","52.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,961","0.2%","1.3%","6.1%","12.4%","13.3%","23.3%","20.0%","18.3%","2.6%","2.5%","66,453","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,461","15.9%","13.4%","23.1%","11.7%","13.0%","11.3%","6.4%","3.4%","0.6%","1.2%","23,675","36,567","","(X)","(X)","42.4%"
"Cherokee County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,836","6.5%","5.2%","14.2%","14.9%","14.0%","18.4%","10.6%","9.5%","3.5%","3.3%","42,509","61,278","","40.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,385","2.9%","3.3%","10.3%","12.4%","13.8%","21.1%","15.3%","12.6%","4.6%","3.6%","58,095","71,004","","(X)","44.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,096","0.7%","3.2%","7.9%","13.1%","13.5%","21.1%","16.1%","14.8%","5.3%","4.3%","62,740","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,451","16.0%","9.1%","23.1%","20.1%","13.2%","11.9%","1.2%","2.2%","0.6%","2.6%","25,488","39,393","","(X)","(X)","32.7%"
"Chilton County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","17,140","7.3%","5.0%","12.1%","12.2%","11.9%","20.4%","13.7%","11.0%","4.2%","2.3%","52,141","66,434","","41.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","12,047","4.2%","3.2%","10.7%","8.3%","11.8%","23.9%","15.7%","13.5%","5.6%","3.0%","59,046","73,200","","(X)","42.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,700","2.1%","1.7%","8.5%","6.2%","9.6%","26.4%","18.4%","16.4%","6.5%","4.1%","69,929","83,406","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,093","15.3%","9.6%","16.4%","21.9%","15.8%","10.0%","5.0%","4.8%","0.4%","0.9%","26,836","47,102","","(X)","(X)","39.2%"
"Choctaw County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,330","8.9%","8.8%","16.1%","12.8%","15.4%","11.0%","11.4%","10.4%","4.4%","0.9%","36,634","53,709","","30.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,453","7.8%","6.5%","10.3%","10.2%","13.4%","14.2%","16.2%","14.4%","5.6%","1.3%","54,429","64,981","","(X)","33.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,296","2.9%","1.6%","5.4%","9.1%","12.9%","16.5%","23.1%","19.8%","6.9%","1.9%","76,056","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,877","10.9%","12.9%","27.3%","16.9%","19.1%","6.3%","2.5%","1.7%","2.3%","0.1%","24,121","32,461","","(X)","(X)","25.1%"
"Clarke County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,323","15.4%","6.7%","12.3%","12.8%","12.0%","15.7%","8.3%","8.8%","5.3%","2.8%","37,345","59,803","","44.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,870","8.7%","4.0%","9.4%","12.0%","12.7%","19.0%","10.8%","13.2%","5.8%","4.4%","52,955","75,818","","(X)","49.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,010","4.7%","3.5%","7.6%","10.5%","11.1%","19.5%","14.0%","17.7%","7.7%","3.8%","67,079","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,453","27.4%","12.3%","16.4%","14.7%","10.7%","9.2%","4.1%","1.2%","3.9%","0.1%","21,366","31,232","","(X)","(X)","35.3%"
"Clay County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,153","7.8%","8.5%","8.8%","15.5%","15.5%","18.2%","9.0%","12.0%","1.9%","2.8%","42,678","62,634","","36.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,678","4.5%","5.0%","3.3%","16.9%","16.7%","20.6%","10.7%","16.6%","2.4%","3.3%","53,185","74,543","","(X)","34.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,744","0.7%","3.4%","1.5%","12.8%","16.4%","23.5%","13.2%","21.2%","3.0%","4.4%","62,697","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,475","18.5%","18.0%","19.9%","13.0%","11.1%","12.3%","4.6%","0.5%","0.6%","1.5%","19,442","32,420","","(X)","(X)","38.8%"
"Cleburne County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,835","11.1%","3.8%","15.6%","9.1%","13.1%","19.6%","12.2%","10.2%","3.7%","1.5%","46,320","60,254","","30.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,790","2.7%","0.3%","12.1%","9.2%","12.6%","24.2%","16.8%","15.0%","4.9%","2.3%","62,025","76,750","","(X)","31.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,055","0.7%","0.2%","7.8%","9.4%","11.7%","23.5%","19.9%","18.5%","5.5%","2.9%","71,568","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,045","27.5%","9.7%","22.3%","11.2%","14.0%","9.5%","4.4%","0.9%","0.4%","0.1%","19,781","27,733","","(X)","(X)","29.5%"
"Coffee County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","19,951","7.3%","5.3%","9.6%","8.1%","14.6%","18.7%","12.8%","14.9%","5.7%","3.1%","56,799","70,669","","34.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","13,601","5.2%","2.6%","7.2%","6.6%","13.6%","20.4%","14.0%","18.6%","7.4%","4.4%","67,245","81,285","","(X)","35.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","10,024","2.5%","0.7%","4.1%","5.4%","12.5%","19.4%","16.2%","23.5%","10.0%","5.6%","82,741","94,839","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,350","12.5%","11.1%","15.5%","11.9%","15.5%","15.4%","10.8%","5.2%","1.8%","0.3%","34,436","45,873","","(X)","(X)","31.0%"
"Colbert County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","21,797","8.8%","6.0%","12.6%","10.6%","13.6%","19.5%","12.7%","11.3%","3.5%","1.4%","47,962","60,264","","37.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","14,207","4.6%","3.0%","8.4%","8.9%","15.2%","23.0%","16.6%","14.2%","4.2%","2.0%","60,619","70,850","","(X)","35.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","10,547","2.0%","1.4%","6.1%","8.4%","12.0%","26.7%","18.1%","17.4%","5.5%","2.4%","69,573","79,651","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","7,590","17.8%","11.7%","20.8%","13.3%","11.3%","12.2%","6.2%","4.3%","2.1%","0.4%","24,824","38,822","","(X)","(X)","39.2%"
"Conecuh County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,585","9.1%","9.4%","10.4%","20.4%","16.5%","13.6%","10.0%","7.0%","1.6%","2.1%","35,444","49,693","","47.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,009","4.6%","4.8%","12.5%","14.6%","20.6%","16.4%","12.1%","9.3%","2.2%","3.0%","45,253","59,542","","(X)","47.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,885","1.9%","1.1%","4.6%","13.8%","19.2%","20.9%","15.7%","14.5%","3.6%","4.8%","63,465","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,576","18.1%","18.3%","16.3%","23.2%","7.9%","11.4%","2.2%","2.0%","0.3%","0.2%","21,984","28,107","","(X)","(X)","46.6%"
"Coosa County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,016","3.6%","8.0%","12.0%","15.8%","19.9%","15.0%","10.2%","9.7%","4.1%","1.7%","43,571","58,927","","37.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,604","3.6%","3.0%","6.4%","12.3%","24.5%","18.0%","11.3%","12.2%","6.3%","2.6%","50,476","70,815","","(X)","46.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,993","1.6%","1.6%","5.1%","10.6%","26.5%","15.7%","13.5%","15.5%","6.6%","3.4%","59,432","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,412","6.4%","17.4%","19.5%","22.4%","12.5%","8.7%","8.4%","4.5%","0.0%","0.0%","27,872","35,899","","(X)","(X)","18.9%"
"Covington County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","14,995","9.6%","8.7%","11.2%","13.0%","13.3%","17.0%","11.7%","9.0%","4.3%","2.2%","42,566","59,947","","36.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","9,708","5.8%","4.4%","6.8%","11.5%","15.1%","18.9%","15.7%","12.3%","6.3%","3.2%","56,831","71,808","","(X)","36.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,146","1.2%","2.7%","4.9%","9.8%","13.5%","20.6%","19.1%","15.6%","8.4%","4.2%","71,705","84,775","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,287","17.2%","16.7%","19.9%","16.6%","10.9%","12.6%","3.6%","1.6%","0.6%","0.4%","23,243","36,076","","(X)","(X)","38.0%"
"Crenshaw County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,011","11.0%","7.6%","11.6%","10.3%","17.1%","14.3%","11.3%","11.1%","3.0%","2.7%","42,611","64,930","","43.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,350","3.6%","1.7%","9.4%","10.9%","18.5%","18.0%","15.5%","15.9%","3.1%","3.3%","59,896","79,416","","(X)","47.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,419","1.2%","0.7%","5.0%","9.3%","16.2%","22.4%","17.9%","20.0%","3.0%","4.1%","68,523","90,934","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,661","26.5%","19.7%","16.3%","10.4%","13.2%","6.7%","1.8%","1.0%","2.8%","1.5%","16,395","34,568","","(X)","(X)","35.9%"
"Cullman County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","31,733","6.8%","5.6%","11.4%","11.9%","15.6%","19.6%","12.1%","10.8%","4.1%","2.1%","48,388","62,592","","37.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","21,920","4.4%","2.9%","6.8%","9.8%","15.3%","22.0%","15.9%","14.5%","5.7%","2.8%","60,790","73,775","","(X)","38.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","17,098","1.5%","2.2%","4.4%","8.1%","14.9%","23.0%","18.6%","17.3%","6.8%","3.3%","69,462","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","9,813","14.0%","11.8%","23.0%","16.1%","15.7%","13.1%","3.7%","1.7%","0.6%","0.2%","25,506","34,160","","(X)","(X)","34.2%"
"Dale County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","19,405","9.0%","6.1%","14.2%","10.7%","14.1%","17.9%","12.2%","10.6%","3.1%","2.2%","45,644","59,235","","38.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","12,548","7.7%","2.8%","10.3%","9.3%","13.9%","20.6%","14.2%","13.6%","4.4%","3.2%","56,776","70,257","","(X)","41.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,666","1.9%","0.9%","6.1%","7.7%","11.6%","23.3%","18.9%","18.9%","6.2%","4.6%","72,519","87,011","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,857","13.6%","12.7%","21.4%","13.3%","13.4%","12.1%","8.0%","4.7%","0.5%","0.2%","26,615","36,756","","(X)","(X)","31.5%"
"Dallas County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","15,409","16.5%","7.4%","15.2%","13.9%","12.5%","15.0%","8.2%","8.2%","2.0%","1.0%","33,317","46,306","","32.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","9,116","9.0%","3.8%","13.2%","13.0%","13.4%","19.4%","11.2%","12.7%","2.9%","1.4%","47,298","58,770","","(X)","39.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,053","2.8%","1.3%","4.8%","8.2%","12.1%","25.5%","18.2%","19.9%","4.7%","2.5%","70,150","79,430","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,293","28.4%","12.7%","19.1%","13.8%","11.9%","8.5%","4.1%","0.8%","0.3%","0.4%","18,816","26,901","","(X)","(X)","20.4%"
"DeKalb County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","26,365","8.0%","6.6%","13.5%","13.4%","15.1%","18.8%","10.6%","9.3%","2.3%","2.2%","42,267","58,198","","39.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","19,318","4.9%","2.5%","11.6%","13.1%","16.1%","21.5%","13.0%","11.6%","3.1%","2.6%","51,363","66,453","","(X)","40.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","15,153","1.7%","2.0%","8.8%","12.1%","16.2%","23.0%","15.1%","14.2%","3.5%","3.4%","59,462","74,440","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","7,047","17.9%","18.1%","20.6%","14.5%","12.5%","9.7%","3.6%","2.0%","0.1%","0.9%","21,406","33,224","","(X)","(X)","34.8%"
"Elmore County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","29,794","5.0%","3.5%","9.0%","9.9%","12.0%","20.0%","14.3%","16.1%","5.9%","4.4%","62,324","78,932","","33.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","21,745","3.3%","2.1%","5.1%","9.3%","9.9%","20.8%","16.0%","20.6%","7.5%","5.3%","74,234","89,738","","(X)","34.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","16,351","1.3%","0.7%","2.6%","6.6%","7.5%","22.0%","17.6%","25.7%","8.9%","7.0%","89,075","103,279","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","8,049","11.4%","7.8%","18.4%","11.6%","18.0%","17.6%","8.0%","4.5%","1.1%","1.6%","35,766","47,596","","(X)","(X)","30.2%"
"Escambia County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","12,931","15.3%","7.4%","12.7%","13.9%","15.3%","17.0%","7.7%","6.7%","2.6%","1.4%","35,558","48,165","","38.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,780","7.8%","4.7%","9.5%","15.0%","15.5%","20.4%","11.4%","9.9%","4.0%","1.8%","47,336","60,486","","(X)","41.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,574","1.7%","1.9%","7.4%","14.7%","15.2%","24.3%","14.2%","12.8%","5.6%","2.2%","58,117","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,151","26.9%","11.8%","18.0%","13.8%","13.6%","11.5%","2.4%","0.9%","0.6%","0.5%","21,478","28,222","","(X)","(X)","34.4%"
"Etowah County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","38,765","8.0%","6.2%","12.9%","12.4%","15.1%","16.8%","11.5%","11.5%","3.4%","2.1%","44,934","61,229","","41.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","25,383","4.7%","3.6%","8.7%","10.2%","13.5%","20.1%","15.7%","15.9%","4.6%","2.8%","59,713","73,317","","(X)","42.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","18,082","1.3%","1.7%","5.2%","6.5%","13.7%","23.7%","17.7%","20.3%","6.1%","3.8%","71,992","85,820","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","13,382","14.8%","11.4%","22.4%","16.8%","16.8%","9.7%","3.8%","2.7%","1.0%","0.4%","25,728","36,183","","(X)","(X)","40.2%"
"Fayette County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,805","8.8%","9.2%","14.5%","12.0%","11.8%","16.6%","15.5%","7.7%","2.2%","1.6%","41,469","55,489","","39.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,728","4.6%","6.0%","11.5%","11.0%","11.6%","19.5%","20.2%","10.7%","2.8%","2.2%","54,654","65,127","","(X)","37.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,747","2.4%","4.2%","8.5%","9.9%","10.1%","21.5%","24.4%","12.8%","3.5%","2.7%","64,867","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
