"Label (Grouping)","SEX AND AGE","Total population","Male","Female","Sex ratio (males per 100 females)","Two or more races","One race","White","Black or African American","American Indian and Alaska Native","Asian","Native Hawaiian and Other Pacific Islander","Some other race","Two or more races"
"Autauga County, Alabama","","","","","","","","","","","","","","",""
"Dallas County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","38,184","17,601","20,583","85.5","37,994","190","37,994","10,394","27,290","48","250","11","1","190"
"    Percent","","38,184","46.1%","53.9%","(X)","99.5%","0.5%","99.5%","27.2%","71.5%","0.1%","0.7%","0.0%","0.0%","0.5%"
"DeKalb County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","71,430","35,307","36,123","97.7","68,921","2,509","68,921","60,554","1,093","850","76","92","6,256","2,509"
"    Percent","","71,430","49.4%","50.6%","(X)","96.5%","3.5%","96.5%","84.8%","1.5%","1.2%","0.1%","0.1%","8.8%","3.5%"
"Elmore County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","81,526","39,388","42,138","93.5","79,881","1,645","79,881","61,073","17,230","241","749","0","588","1,645"
"    Percent","","81,526","48.3%","51.7%","(X)","98.0%","2.0%","98.0%","74.9%","21.1%","0.3%","0.9%","0.0%","0.7%","2.0%"
"Escambia County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","36,775","18,690","18,085","103.3","36,205","570","36,205","22,757","11,774","1,391","103","43","137","570"
"    Percent","","36,775","50.8%","49.2%","(X)","98.5%","1.5%","98.5%","61.9%","32.0%","3.8%","0.3%","0.1%","0.4%","1.5%"
"Etowah County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","102,721","49,531","53,190","93.1","100,457","2,264","100,457","81,298","16,519","529","808","3","1,300","2,264"
"    Percent","","102,721","48.2%","51.8%","(X)","97.8%","2.2%","97.8%","79.1%","16.1%","0.5%","0.8%","0.0%","1.3%","2.2%"
"Fayette County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","16,406","8,062","8,344","96.6","16,000","406","16,000","13,884","2,003","0","108","4","1","406"
"    Percent","","16,406","49.1%","50.9%","(X)","97.5%","2.5%","97.5%","84.6%","12.2%","0.0%","0.7%","0.0%","0.0%","2.5%"
"Franklin County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","31,587","15,631","15,956","98.0","31,038","549","31,038","26,017","1,241","326","273","6","3,175","549"
"    Percent","","31,587","49.5%","50.5%","(X)","98.3%","1.7%","98.3%","82.4%","3.9%","1.0%","0.9%","0.0%","10.1%","1.7%"
"Geneva County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","26,383","12,791","13,592","94.1","25,986","397","25,986","22,678","2,678","312","42","10","266","397"
"    Percent","","26,383","48.5%","51.5%","(X)","98.5%","1.5%","98.5%","86.0%","10.2%","1.2%","0.2%","0.0%","1.0%","1.5%"
"Greene County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","8,221","3,899","4,322","90.2","7,996","225","7,996","1,430","6,489","38","0","0","39","225"
"    Percent","","8,221","47.4%","52.6%","(X)","97.3%","2.7%","97.3%","17.4%","78.9%","0.5%","0.0%","0.0%","0.5%","2.7%"
"Hale County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","14,754","7,006","7,748","90.4","14,437","317","14,437","5,668","8,726","0","28","0","15","317"
"    Percent","","14,754","47.5%","52.5%","(X)","97.9%","2.1%","97.9%","38.4%","59.1%","0.0%","0.2%","0.0%","0.1%","2.1%"
"Henry County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","17,123","8,261","8,862","93.2","16,835","288","16,835","11,994","4,553","34","73","36","145","288"
"    Percent","","17,123","48.2%","51.8%","(X)","98.3%","1.7%","98.3%","70.0%","26.6%","0.2%","0.4%","0.2%","0.8%","1.7%"
"Houston County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","105,319","50,474","54,845","92.0","102,518","2,801","102,518","71,857","28,677","290","996","16","682","2,801"
"    Percent","","105,319","47.9%","52.1%","(X)","97.3%","2.7%","97.3%","68.2%","27.2%","0.3%","0.9%","0.0%","0.6%","2.7%"
"Jackson County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","51,765","25,323","26,442","95.8","50,378","1,387","50,378","47,211","1,908","559","220","35","445","1,387"
"    Percent","","51,765","48.9%","51.1%","(X)","97.3%","2.7%","97.3%","91.2%","3.7%","1.1%","0.4%","0.1%","0.9%","2.7%"
"Jefferson County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","658,615","311,447","347,168","89.7","643,900","14,715","643,900","338,644","282,538","1,157","10,417","187","10,957","14,715"
"    Percent","","658,615","47.3%","52.7%","(X)","97.8%","2.2%","97.8%","51.4%","42.9%","0.2%","1.6%","0.0%","1.7%","2.2%"
"Lamar County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","13,854","6,842","7,012","97.6","13,720","134","13,720","12,112","1,525","12","21","0","50","134"
"    Percent","","13,854","49.4%","50.6%","(X)","99.0%","1.0%","99.0%","87.4%","11.0%","0.1%","0.2%","0.0%","0.4%","1.0%"
"Lauderdale County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","92,870","44,598","48,272","92.4","90,599","2,271","90,599","79,815","9,514","338","581","64","287","2,271"
"    Percent","","92,870","48.0%","52.0%","(X)","97.6%","2.4%","97.6%","85.9%","10.2%","0.4%","0.6%","0.1%","0.3%","2.4%"
"Lawrence County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","32,969","15,804","17,165","92.1","31,510","1,459","31,510","25,798","3,520","1,967","40","22","163","1,459"
"    Percent","","32,969","47.9%","52.1%","(X)","95.6%","4.4%","95.6%","78.2%","10.7%","6.0%","0.1%","0.1%","0.5%","4.4%"
"Lee County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","163,461","80,478","82,983","97.0","159,735","3,726","159,735","113,894","37,121","348","7,131","7","1,234","3,726"
"    Percent","","163,461","49.2%","50.8%","(X)","97.7%","2.3%","97.7%","69.7%","22.7%","0.2%","4.4%","0.0%","0.8%","2.3%"
"Limestone County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","96,921","48,326","48,595","99.4","93,994","2,927","93,994","76,469","13,128","897","1,412","43","2,045","2,927"
"    Percent","","96,921","49.9%","50.1%","(X)","97.0%","3.0%","97.0%","78.9%","13.5%","0.9%","1.5%","0.0%","2.1%","3.0%"
"Lowndes County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","9,936","4,735","5,201","91.0","9,916","20","9,916","2,464","7,440","12","0","0","0","20"
"    Percent","","9,936","47.7%","52.3%","(X)","99.8%","0.2%","99.8%","24.8%","74.9%","0.1%","0.0%","0.0%","0.0%","0.2%"
"Macon County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","18,437","8,396","10,041","83.6","18,225","212","18,225","3,000","15,162","15","36","0","12","212"
"    Percent","","18,437","45.5%","54.5%","(X)","98.9%","1.1%","98.9%","16.3%","82.2%","0.1%","0.2%","0.0%","0.1%","1.1%"
"Madison County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","367,686","179,576","188,110","95.5","355,618","12,068","355,618","247,390","90,449","2,074","9,676","306","5,723","12,068"
"    Percent","","367,686","48.8%","51.2%","(X)","96.7%","3.3%","96.7%","67.3%","24.6%","0.6%","2.6%","0.1%","1.6%","3.3%"
"Marengo County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","19,138","8,993","10,145","88.6","18,898","240","18,898","8,915","9,907","24","9","0","43","240"
"    Percent","","19,138","47.0%","53.0%","(X)","98.7%","1.3%","98.7%","46.6%","51.8%","0.1%","0.0%","0.0%","0.2%","1.3%"
"Marion County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","29,818","14,760","15,058","98.0","29,281","537","29,281","27,518","1,128","136","18","0","481","537"
"    Percent","","29,818","49.5%","50.5%","(X)","98.2%","1.8%","98.2%","92.3%","3.8%","0.5%","0.1%","0.0%","1.6%","1.8%"
"Marshall County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","96,137","47,458","48,679","97.5","92,557","3,580","92,557","86,784","2,826","371","615","36","1,925","3,580"
"    Percent","","96,137","49.4%","50.6%","(X)","96.3%","3.7%","96.3%","90.3%","2.9%","0.4%","0.6%","0.0%","2.0%","3.7%"
"Mobile County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","413,977","197,126","216,851","90.9","404,758","9,219","404,758","240,134","149,478","2,748","7,728","61","4,609","9,219"
"    Percent","","413,977","47.6%","52.4%","(X)","97.8%","2.2%","97.8%","58.0%","36.1%","0.7%","1.9%","0.0%","1.1%","2.2%"
"Monroe County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","21,006","10,094","10,912","92.5","20,788","218","20,788","11,425","8,918","286","125","12","22","218"
"    Percent","","21,006","48.1%","51.9%","(X)","99.0%","1.0%","99.0%","54.4%","42.5%","1.4%","0.6%","0.1%","0.1%","1.0%"
"Montgomery County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","226,451","106,729","119,722","89.1","220,195","6,256","220,195","78,661","131,159","478","6,933","23","2,941","6,256"
"    Percent","","226,451","47.1%","52.9%","(X)","97.2%","2.8%","97.2%","34.7%","57.9%","0.2%","3.1%","0.0%","1.3%","2.8%"
"Morgan County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","119,352","58,819","60,533","97.2","115,192","4,160","115,192","93,765","15,137","506","661","196","4,927","4,160"
"    Percent","","119,352","49.3%","50.7%","(X)","96.5%","3.5%","96.5%","78.6%","12.7%","0.4%","0.6%","0.2%","4.1%","3.5%"
"Perry County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","9,104","4,344","4,760","91.3","9,100","4","9,100","2,696","6,290","3","8","0","103","4"
"    Percent","","9,104","47.7%","52.3%","(X)","100.0%","0.0%","100.0%","29.6%","69.1%","0.0%","0.1%","0.0%","1.1%","0.0%"
"Pickens County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","20,049","9,574","10,475","91.4","19,777","272","19,777","11,384","8,078","38","8","0","269","272"
"    Percent","","20,049","47.8%","52.2%","(X)","98.6%","1.4%","98.6%","56.8%","40.3%","0.2%","0.0%","0.0%","1.3%","1.4%"
"Pike County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","33,274","16,011","17,263","92.7","32,525","749","32,525","19,230","12,415","121","715","3","41","749"
"    Percent","","33,274","48.1%","51.9%","(X)","97.7%","2.3%","97.7%","57.8%","37.3%","0.4%","2.1%","0.0%","0.1%","2.3%"
"Randolph County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","22,732","11,031","11,701","94.3","22,214","518","22,214","17,563","4,327","99","49","0","176","518"
"    Percent","","22,732","48.5%","51.5%","(X)","97.7%","2.3%","97.7%","77.3%","19.0%","0.4%","0.2%","0.0%","0.8%","2.3%"
"Russell County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","57,938","27,809","30,129","92.3","56,027","1,911","56,027","27,675","26,023","85","676","30","1,538","1,911"
"    Percent","","57,938","48.0%","52.0%","(X)","96.7%","3.3%","96.7%","47.8%","44.9%","0.1%","1.2%","0.1%","2.7%","3.3%"
"St. Clair County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","88,929","44,256","44,673","99.1","87,682","1,247","87,682","77,393","8,399","482","668","18","722","1,247"
"    Percent","","88,929","49.8%","50.2%","(X)","98.6%","1.4%","98.6%","87.0%","9.4%","0.5%","0.8%","0.0%","0.8%","1.4%"
"Shelby County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","216,350","104,597","111,753","93.6","209,702","6,648","209,702","172,560","26,213","834","4,231","43","5,821","6,648"
"    Percent","","216,350","48.3%","51.7%","(X)","96.9%","3.1%","96.9%","79.8%","12.1%","0.4%","2.0%","0.0%","2.7%","3.1%"
"Sumter County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","12,595","5,744","6,851","83.8","12,471","124","12,471","3,190","8,987","8","247","0","39","124"
"    Percent","","12,595","45.6%","54.4%","(X)","99.0%","1.0%","99.0%","25.3%","71.4%","0.1%","2.0%","0.0%","0.3%","1.0%"
"Talladega County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","80,244","38,705","41,539","93.2","78,478","1,766","78,478","50,941","25,904","282","432","151","768","1,766"
"    Percent","","80,244","48.2%","51.8%","(X)","97.8%","2.2%","97.8%","63.5%","32.3%","0.4%","0.5%","0.2%","1.0%","2.2%"
"Tallapoosa County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","40,450","19,632","20,818","94.3","39,955","495","39,955","28,258","11,178","51","167","0","301","495"
"    Percent","","40,450","48.5%","51.5%","(X)","98.8%","1.2%","98.8%","69.9%","27.6%","0.1%","0.4%","0.0%","0.7%","1.2%"
"Tuscaloosa County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","208,854","100,545","108,309","92.8","205,314","3,540","205,314","132,297","67,305","453","3,435","45","1,779","3,540"
"    Percent","","208,854","48.1%","51.9%","(X)","98.3%","1.7%","98.3%","63.3%","32.2%","0.2%","1.6%","0.0%","0.9%","1.7%"
"Walker County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","63,802","31,336","32,466","96.5","62,076","1,726","62,076","57,142","3,856","188","238","0","652","1,726"
"    Percent","","63,802","49.1%","50.9%","(X)","97.3%","2.7%","97.3%","89.6%","6.0%","0.3%","0.4%","0.0%","1.0%","2.7%"
"Washington County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","16,336","8,088","8,248","98.1","16,021","315","16,021","10,781","3,962","1,223","30","0","25","315"
"    Percent","","16,336","49.5%","50.5%","(X)","98.1%","1.9%","98.1%","66.0%","24.3%","7.5%","0.2%","0.0%","0.2%","1.9%"
"Wilcox County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","10,552","4,871","5,681","85.7","10,302","250","10,302","2,868","7,418","12","4","0","0","250"
"    Percent","","10,552","46.2%","53.8%","(X)","97.6%","2.4%","97.6%","27.2%","70.3%","0.1%","0.0%","0.0%","0.0%","2.4%"
"Winston County, Alabama","","","","","","","","","","","","","","",""
"    Estimate","","23,712","11,647","12,065","96.5","23,293","419","23,293","22,663","193","71","89","16","261","419"
"    Percent","","23,712","49.1%","50.9%","(X)","98.2%","1.8%","98.2%","95.6%","0.8%","0.3%","0.4%","0.1%","1.1%","1.8%"
"Aleutians East Borough, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","3,389","1,956","1,433","136.5","3,012","377","3,012","500","129","1,382","815","11","175","377"
"    Percent","","3,389","57.7%","42.3%","(X)","88.9%","11.1%","88.9%","14.8%","3.8%","40.8%","24.0%","0.3%","5.2%","11.1%"
"Aleutians West Census Area, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","5,708","3,643","2,065","176.4","5,116","592","5,116","1,510","167","615","2,338","170","316","592"
"    Percent","","5,708","63.8%","36.2%","(X)","89.6%","10.4%","89.6%","26.5%","2.9%","10.8%","41.0%","3.0%","5.5%","10.4%"
"Anchorage Municipality, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","292,090","148,954","143,136","104.1","260,048","32,042","260,048","178,735","15,507","21,921","28,672","8,332","6,881","32,042"
"    Percent","","292,090","51.0%","49.0%","(X)","89.0%","11.0%","89.0%","61.2%","5.3%","7.5%","9.8%","2.9%","2.4%","11.0%"
"Bethel Census Area, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","18,263","9,461","8,802","107.5","17,520","743","17,520","1,875","145","15,194","212","45","49","743"
"    Percent","","18,263","51.8%","48.2%","(X)","95.9%","4.1%","95.9%","10.3%","0.8%","83.2%","1.2%","0.2%","0.3%","4.1%"
"Bristol Bay Borough, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","739","414","325","127.4","660","79","660","384","4","225","17","9","21","79"
"    Percent","","739","56.0%","44.0%","(X)","89.3%","10.7%","89.3%","52.0%","0.5%","30.4%","2.3%","1.2%","2.8%","10.7%"
"Chugach Census Area, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","6,495","3,573","2,922","122.3","6,020","475","6,020","4,888","72","400","372","62","226","475"
"    Percent","","6,495","55.0%","45.0%","(X)","92.7%","7.3%","92.7%","75.3%","1.1%","6.2%","5.7%","1.0%","3.5%","7.3%"
"Copper River Census Area, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","2,894","1,374","1,520","90.4","2,509","385","2,509","1,657","5","824","16","0","7","385"
"    Percent","","2,894","47.5%","52.5%","(X)","86.7%","13.3%","86.7%","57.3%","0.2%","28.5%","0.6%","0.0%","0.2%","13.3%"
"Denali Borough, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","2,502","1,358","1,144","118.7","2,189","313","2,189","2,031","54","43","51","0","10","313"
"    Percent","","2,502","54.3%","45.7%","(X)","87.5%","12.5%","87.5%","81.2%","2.2%","1.7%","2.0%","0.0%","0.4%","12.5%"
"Dillingham Census Area, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","4,934","2,527","2,407","105.0","4,599","335","4,599","816","74","3,652","20","3","34","335"
"    Percent","","4,934","51.2%","48.8%","(X)","93.2%","6.8%","93.2%","16.5%","1.5%","74.0%","0.4%","0.1%","0.7%","6.8%"
"Fairbanks North Star Borough, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","98,455","53,109","45,346","117.1","90,428","8,027","90,428","72,757","4,628","7,615","3,219","558","1,651","8,027"
"    Percent","","98,455","53.9%","46.1%","(X)","91.8%","8.2%","91.8%","73.9%","4.7%","7.7%","3.3%","0.6%","1.7%","8.2%"
"Haines Borough, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","2,547","1,415","1,132","125.0","2,178","369","2,178","1,964","0","164","45","4","1","369"
"    Percent","","2,547","55.6%","44.4%","(X)","85.5%","14.5%","85.5%","77.1%","0.0%","6.4%","1.8%","0.2%","0.0%","14.5%"
"Hoonah-Angoon Census Area, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","2,135","1,149","986","116.5","1,900","235","1,900","1,046","72","712","49","0","21","235"
"    Percent","","2,135","53.8%","46.2%","(X)","89.0%","11.0%","89.0%","49.0%","3.4%","33.3%","2.3%","0.0%","1.0%","11.0%"
"Juneau City and Borough, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","32,099","16,474","15,625","105.4","27,813","4,286","27,813","21,300","278","3,233","2,186","373","443","4,286"
"    Percent","","32,099","51.3%","48.7%","(X)","86.6%","13.4%","86.6%","66.4%","0.9%","10.1%","6.8%","1.2%","1.4%","13.4%"
"Kenai Peninsula Borough, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","58,809","30,595","28,214","108.4","54,982","3,827","54,982","47,891","380","4,649","976","212","874","3,827"
"    Percent","","58,809","52.0%","48.0%","(X)","93.5%","6.5%","93.5%","81.4%","0.6%","7.9%","1.7%","0.4%","1.5%","6.5%"
"Ketchikan Gateway Borough, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","13,833","7,132","6,701","106.4","12,486","1,347","12,486","8,997","94","2,034","1,145","25","191","1,347"
"    Percent","","13,833","51.6%","48.4%","(X)","90.3%","9.7%","90.3%","65.0%","0.7%","14.7%","8.3%","0.2%","1.4%","9.7%"
"Kodiak Island Borough, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","13,383","7,144","6,239","114.5","12,117","1,266","12,117","7,136","67","1,664","3,060","31","159","1,266"
"    Percent","","13,383","53.4%","46.6%","(X)","90.5%","9.5%","90.5%","53.3%","0.5%","12.4%","22.9%","0.2%","1.2%","9.5%"
"Kusilvak Census Area, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","8,298","4,485","3,813","117.6","8,102","196","8,102","273","39","7,715","11","6","58","196"
"    Percent","","8,298","54.0%","46.0%","(X)","97.6%","2.4%","97.6%","3.3%","0.5%","93.0%","0.1%","0.1%","0.7%","2.4%"
"Lake and Peninsula Borough, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","1,156","530","626","84.7","1,070","86","1,070","281","80","679","26","3","1","86"
"    Percent","","1,156","45.8%","54.2%","(X)","92.6%","7.4%","92.6%","24.3%","6.9%","58.7%","2.2%","0.3%","0.1%","7.4%"
"Matanuska-Susitna Borough, Alaska","","","","","","","","","","","","","","",""
"    Estimate","","107,360","55,771","51,589","108.1","98,359","9,001","98,359","87,853","1,472","6,494","1,574","317","649","9,001"
